layer,cosA_pre_mean,cosA_pre_std,cosB_pre_mean,cosB_pre_std,cosA_B_mean,cosA_B_std,relL2_mean,relL2_std
layer 0,0.6235,0.0304,0.1785,0.0102,0.1681,0.0124,1.0631,0.0494
layer 1,0.6103,0.0115,0.2003,0.0132,0.1921,0.0117,1.1380,0.0231
layer 2,0.6380,0.0115,0.2174,0.0148,0.2180,0.0071,0.9461,0.0256
layer 3,0.6348,0.0207,0.2333,0.0039,0.2284,0.0078,0.9140,0.0483
layer 4,0.6315,0.0132,0.2340,0.0045,0.2336,0.0111,0.8591,0.0136
layer 5,0.6871,0.0089,0.2118,0.0082,0.2113,0.0072,0.7569,0.0071
final_norm,0.6902,0.0258,0.4206,0.0272,0.3810,0.0261,1.2379,0.0317
GLOBAL,0.5354,0.0088,0.0520,0.0005,0.0453,0.0018,,
