seed,param,cos_A_pre,cos_B_pre,cos_A_B,relL2_A_pre
1,transformer.layers.0.self_attn.out_proj.bias,0.3147,-0.0563,-0.0286,1.2418
1,transformer.layers.0.linear1.weight,0.5094,-0.0062,-0.0042,0.9346
1,transformer.layers.0.linear1.bias,0.6602,0.4518,0.0538,0.7809
1,transformer.layers.0.linear2.weight,0.2663,0.0036,-0.0012,1.4878
1,transformer.layers.0.linear2.bias,0.2572,0.1047,0.0447,1.8604
1,transformer.layers.0.norm1.weight,0.5692,0.0796,0.1222,2.7197
1,transformer.layers.0.norm1.bias,0.8023,-0.0705,-0.0358,0.5970
1,transformer.layers.0.norm2.weight,0.8556,0.2627,0.2596,0.5284
1,transformer.layers.0.norm2.bias,0.5326,0.0186,0.0287,0.8542
1,transformer.layers.1.self_attn.in_proj_weight,0.3064,-0.0024,-0.0053,1.5460
1,transformer.layers.1.self_attn.in_proj_bias,0.3768,0.0352,0.1107,3.3785
1,transformer.layers.1.self_attn.out_proj.weight,0.2769,0.0081,0.0035,1.9818
1,transformer.layers.1.self_attn.out_proj.bias,0.2920,0.0055,-0.0184,1.8169
1,transformer.layers.1.linear1.weight,0.4220,-0.0025,-0.0060,1.2428
1,transformer.layers.1.linear1.bias,0.4657,0.4011,-0.0044,0.9618
1,transformer.layers.1.linear2.weight,0.2948,0.0015,0.0011,1.4616
1,transformer.layers.1.linear2.bias,0.1666,0.1299,0.0049,1.8244
1,transformer.layers.1.norm1.weight,0.8039,0.0738,0.0789,1.9351
1,transformer.layers.1.norm1.bias,0.4037,0.0457,-0.0004,1.4241
1,transformer.layers.1.norm2.weight,0.8312,0.1610,0.1481,0.8863
1,transformer.layers.1.norm2.bias,0.3585,0.0305,-0.0014,0.9550
1,transformer.layers.2.self_attn.in_proj_weight,0.3412,0.0018,-0.0006,1.3460
1,transformer.layers.2.self_attn.in_proj_bias,0.3036,0.1109,0.0591,2.5642
1,transformer.layers.2.self_attn.out_proj.weight,0.2910,0.0003,0.0013,2.0227
1,transformer.layers.2.self_attn.out_proj.bias,0.1799,0.0187,-0.0071,1.8418
1,transformer.layers.2.linear1.weight,0.3661,-0.0009,-0.0045,1.5256
1,transformer.layers.2.linear1.bias,0.6929,0.2615,0.3789,1.0293
1,transformer.layers.2.linear2.weight,0.2949,0.0040,-0.0023,1.4657
1,transformer.layers.2.linear2.bias,0.2199,0.0614,0.0074,1.7525
1,transformer.layers.2.norm1.weight,0.8935,0.6179,0.6089,1.4497
1,transformer.layers.2.norm1.bias,0.6245,-0.0534,0.0249,1.0566
1,transformer.layers.2.norm2.weight,0.8741,0.4759,0.4535,1.4555
1,transformer.layers.2.norm2.bias,0.1490,-0.0450,-0.1071,1.6189
1,transformer.layers.3.self_attn.in_proj_weight,0.3505,0.0010,0.0003,1.3258
1,transformer.layers.3.self_attn.in_proj_bias,0.3822,0.0150,-0.0514,2.2057
1,transformer.layers.3.self_attn.out_proj.weight,0.3137,0.0085,0.0038,1.7104
1,transformer.layers.3.self_attn.out_proj.bias,0.0569,-0.0138,-0.0329,2.3454
1,transformer.layers.3.linear1.weight,0.3138,-0.0008,-0.0047,1.8881
1,transformer.layers.3.linear1.bias,0.4882,0.2532,0.6636,1.6258
1,transformer.layers.3.linear2.weight,0.2932,0.0001,-0.0006,1.5730
1,transformer.layers.3.linear2.bias,0.1240,0.1657,-0.0156,1.7544
1,transformer.layers.3.norm1.weight,0.8999,0.5981,0.6274,1.0293
1,transformer.layers.3.norm1.bias,0.6227,-0.0031,0.1016,1.1573
1,transformer.layers.3.norm2.weight,0.8577,0.3498,0.3205,2.0829
1,transformer.layers.3.norm2.bias,0.2654,-0.0496,-0.0573,2.7360
1,transformer.layers.4.self_attn.in_proj_weight,0.3401,-0.0004,-0.0037,1.3903
1,transformer.layers.4.self_attn.in_proj_bias,0.0264,0.0091,0.1488,1.4639
1,transformer.layers.4.self_attn.out_proj.weight,0.2738,0.0022,0.0017,1.8421
1,transformer.layers.4.self_attn.out_proj.bias,-0.0802,0.0048,0.1023,1.8592
1,transformer.layers.4.linear1.weight,0.2645,0.0012,0.0056,2.0627
1,transformer.layers.4.linear1.bias,0.6079,0.3583,0.6318,1.3655
1,transformer.layers.4.linear2.weight,0.2240,0.0005,0.0007,2.0341
1,transformer.layers.4.linear2.bias,0.3038,0.0208,0.0409,1.2888
1,transformer.layers.4.norm1.weight,0.9081,0.6306,0.6733,1.3200
1,transformer.layers.4.norm1.bias,0.3111,0.0427,-0.0294,2.3532
1,transformer.layers.4.norm2.weight,0.7436,-0.0665,0.0058,2.4561
1,transformer.layers.4.norm2.bias,0.1423,0.0896,0.0386,3.3457
1,transformer.layers.5.self_attn.in_proj_weight,0.2896,-0.0049,-0.0021,1.6256
1,transformer.layers.5.self_attn.in_proj_bias,0.3765,0.0151,0.0527,0.9812
1,transformer.layers.5.self_attn.out_proj.weight,0.1735,0.0039,-0.0017,2.1803
1,transformer.layers.5.self_attn.out_proj.bias,0.2120,-0.0204,0.0118,1.6416
1,transformer.layers.5.linear1.weight,0.2209,-0.0028,0.0036,3.0904
1,transformer.layers.5.linear1.bias,0.6165,0.1441,0.3759,1.2077
1,transformer.layers.5.linear2.weight,0.1071,0.0025,0.0018,2.5584
1,transformer.layers.5.linear2.bias,0.3338,0.0028,-0.0165,1.1218
1,transformer.layers.5.norm1.weight,0.8400,0.4373,0.5352,1.7857
1,transformer.layers.5.norm1.bias,0.5146,-0.1348,0.0383,1.3371
1,transformer.layers.5.norm2.weight,0.5871,-0.0698,-0.0251,7.1253
1,transformer.layers.5.norm2.bias,0.4382,-0.0554,-0.0123,2.4432
1,final_norm.weight,0.4924,0.1070,-0.0131,3.4622
1,final_norm.bias,0.5437,0.0095,0.0868,1.2191
2,transformer.layers.0.self_attn.in_proj_weight,0.3891,-0.0004,-0.0023,1.8082
2,transformer.layers.0.self_attn.in_proj_bias,0.0797,0.0301,0.0694,2.6132
2,transformer.layers.0.self_attn.out_proj.weight,0.2437,-0.0007,-0.0041,1.8689
2,transformer.layers.0.self_attn.out_proj.bias,0.3069,-0.0758,-0.0273,1.2627
2,transformer.layers.0.linear1.weight,0.4574,0.0013,-0.0030,1.0066
2,transformer.layers.0.linear1.bias,0.6625,0.4712,0.1867,0.7954
2,transformer.layers.0.linear2.weight,0.2657,-0.0002,0.0032,1.5610
2,transformer.layers.0.linear2.bias,0.1497,0.0063,0.0725,1.9878
2,transformer.layers.0.norm1.weight,0.5675,0.0790,0.0585,3.0297
2,transformer.layers.0.norm1.bias,0.8425,-0.0536,-0.0253,0.5921
2,transformer.layers.0.norm2.weight,0.8201,0.2760,0.2205,0.6071
2,transformer.layers.0.norm2.bias,0.3577,0.0361,0.0708,0.9348
2,transformer.layers.1.self_attn.in_proj_weight,0.3325,0.0005,0.0012,1.4927
2,transformer.layers.1.self_attn.in_proj_bias,0.3282,0.0521,0.0542,2.9706
2,transformer.layers.1.self_attn.out_proj.weight,0.2326,0.0024,0.0046,2.1484
2,transformer.layers.1.self_attn.out_proj.bias,0.2035,-0.0327,0.0630,1.5418
2,transformer.layers.1.linear1.weight,0.3774,-0.0018,0.0027,1.4201
2,transformer.layers.1.linear1.bias,0.4482,0.3850,0.2228,1.0567
2,transformer.layers.1.linear2.weight,0.2933,0.0027,0.0041,1.4928
2,transformer.layers.1.linear2.bias,0.2029,-0.0127,0.0744,1.7730
2,transformer.layers.1.norm1.weight,0.8275,0.0760,0.0980,1.7869
2,transformer.layers.1.norm1.bias,0.7845,0.1722,0.0865,0.8892
2,transformer.layers.1.norm2.weight,0.8186,0.1497,0.1968,1.1163
2,transformer.layers.1.norm2.bias,0.3622,-0.0485,0.0284,1.0090
2,transformer.layers.2.self_attn.in_proj_weight,0.3529,-0.0005,-0.0014,1.3615
2,transformer.layers.2.self_attn.in_proj_bias,0.2964,0.0396,0.0141,2.0204
2,transformer.layers.2.self_attn.out_proj.weight,0.2474,0.0064,-0.0025,2.1262
2,transformer.layers.2.self_attn.out_proj.bias,0.3196,-0.0068,0.1750,1.6330
2,transformer.layers.2.linear1.weight,0.3131,-0.0007,-0.0056,1.8209
2,transformer.layers.2.linear1.bias,0.4591,0.2834,0.6644,1.9494
2,transformer.layers.2.linear2.weight,0.2805,0.0008,-0.0022,1.6625
2,transformer.layers.2.linear2.bias,0.2879,-0.0660,0.0569,1.5363
2,transformer.layers.2.norm1.weight,0.9017,0.6179,0.6313,1.2059
2,transformer.layers.2.norm1.bias,0.5383,-0.0713,-0.1077,1.0098
2,transformer.layers.2.norm2.weight,0.8868,0.4673,0.4617,1.5788
2,transformer.layers.2.norm2.bias,0.3597,0.0378,-0.0041,2.1177
2,transformer.layers.3.self_attn.in_proj_weight,0.3238,-0.0003,-0.0009,1.4727
2,transformer.layers.3.self_attn.in_proj_bias,-0.0329,0.0006,-0.0451,2.3566
2,transformer.layers.3.self_attn.out_proj.weight,0.2353,-0.0011,0.0025,2.0845
2,transformer.layers.3.self_attn.out_proj.bias,0.2488,-0.0710,-0.1408,1.8497
2,transformer.layers.3.linear1.weight,0.3030,-0.0015,-0.0119,2.0841
2,transformer.layers.3.linear1.bias,0.4441,0.2410,0.7238,1.9457
2,transformer.layers.3.linear2.weight,0.2648,-0.0020,-0.0001,1.6754
2,transformer.layers.3.linear2.bias,0.2663,0.0041,-0.0591,1.4591
2,transformer.layers.3.norm1.weight,0.9110,0.6023,0.6455,1.6392
2,transformer.layers.3.norm1.bias,0.3745,-0.0500,-0.0032,1.3463
2,transformer.layers.3.norm2.weight,0.8762,0.3375,0.2880,2.4242
2,transformer.layers.3.norm2.bias,0.3724,-0.0123,-0.0978,3.3505
2,transformer.layers.4.self_attn.in_proj_weight,0.3407,-0.0034,0.0008,1.3693
2,transformer.layers.4.self_attn.in_proj_bias,0.4535,0.0078,-0.0180,1.2373
2,transformer.layers.4.self_attn.out_proj.weight,0.2382,0.0032,0.0028,1.8765
2,transformer.layers.4.self_attn.out_proj.bias,0.1640,-0.0031,0.0434,1.7576
2,transformer.layers.4.linear1.weight,0.2544,0.0009,-0.0038,2.1646
2,transformer.layers.4.linear1.bias,0.6800,0.3773,0.7030,1.4456
2,transformer.layers.4.linear2.weight,0.2107,-0.0022,0.0016,2.1452
2,transformer.layers.4.linear2.bias,0.5348,0.0338,0.0582,1.0171
2,transformer.layers.4.norm1.weight,0.9012,0.6376,0.6618,1.4068
2,transformer.layers.4.norm1.bias,0.4084,-0.0404,-0.0258,3.0085
2,transformer.layers.4.norm2.weight,0.7504,-0.0613,-0.1002,2.9172
2,transformer.layers.4.norm2.bias,0.2200,-0.0145,-0.0206,3.8604
2,transformer.layers.5.self_attn.in_proj_weight,0.2982,-0.0003,-0.0006,1.5638
2,transformer.layers.5.self_attn.in_proj_bias,0.5728,0.0333,0.1041,0.9084
2,transformer.layers.5.self_attn.out_proj.weight,0.1599,0.0007,0.0004,2.2778
2,transformer.layers.5.self_attn.out_proj.bias,0.2329,-0.0378,0.0070,1.5339
2,transformer.layers.5.linear1.weight,0.2538,0.0042,0.0014,2.7754
2,transformer.layers.5.linear1.bias,0.5212,0.0848,0.3441,1.1498
2,transformer.layers.5.linear2.weight,0.1345,-0.0030,-0.0049,2.3622
2,transformer.layers.5.linear2.bias,0.2529,0.0212,-0.1620,1.2159
2,transformer.layers.5.norm1.weight,0.8252,0.4409,0.5195,1.8961
2,transformer.layers.5.norm1.bias,0.4191,0.0362,-0.1497,1.5631
2,transformer.layers.5.norm2.weight,0.6360,-0.0670,-0.0563,6.0594
2,transformer.layers.5.norm2.bias,0.4228,0.0053,0.0030,2.5040
2,final_norm.weight,0.5083,0.1008,0.0888,3.3554
2,final_norm.bias,0.5734,0.0892,0.1262,1.0022
3,transformer.layers.0.self_attn.in_proj_weight,0.3913,-0.0013,-0.0010,1.9130
3,transformer.layers.0.self_attn.in_proj_bias,0.0381,0.0094,-0.0435,2.1108
3,transformer.layers.0.self_attn.out_proj.weight,0.2567,-0.0020,0.0019,1.7862
3,transformer.layers.0.self_attn.out_proj.bias,0.3385,0.0485,-0.0101,1.2125
3,transformer.layers.0.linear1.weight,0.5069,-0.0007,-0.0020,0.9252
3,transformer.layers.0.linear1.bias,0.7740,0.4260,0.2586,0.7521
3,transformer.layers.0.linear2.weight,0.2431,0.0034,0.0066,1.5143
3,transformer.layers.0.linear2.bias,0.3249,0.0708,-0.0426,1.6860
3,transformer.layers.0.norm1.weight,0.5840,0.0747,-0.0061,3.0469
3,transformer.layers.0.norm1.bias,0.8701,-0.0910,-0.0841,0.5258
3,transformer.layers.0.norm2.weight,0.8601,0.2501,0.2280,0.5102
3,transformer.layers.0.norm2.bias,0.3671,-0.0614,-0.0123,0.9311
3,transformer.layers.1.self_attn.in_proj_weight,0.3367,-0.0008,-0.0016,1.4867
3,transformer.layers.1.self_attn.in_proj_bias,0.3951,0.0142,0.0371,3.4465
3,transformer.layers.1.self_attn.out_proj.weight,0.2577,0.0037,0.0011,2.1420
3,transformer.layers.1.self_attn.out_proj.bias,0.2913,0.0407,-0.0278,1.4824
3,transformer.layers.1.linear1.weight,0.3741,-0.0006,-0.0016,1.2904
3,transformer.layers.1.linear1.bias,0.5675,0.3600,0.1269,0.8330
3,transformer.layers.1.linear2.weight,0.2690,0.0019,0.0010,1.5242
3,transformer.layers.1.linear2.bias,0.2339,0.0820,-0.0653,1.7304
3,transformer.layers.1.norm1.weight,0.8205,0.0715,0.0651,1.5869
3,transformer.layers.1.norm1.bias,0.5498,-0.1206,0.0220,0.9229
3,transformer.layers.1.norm2.weight,0.7656,0.1418,0.0745,0.8810
3,transformer.layers.1.norm2.bias,0.1751,0.0908,0.0315,1.0829
3,transformer.layers.2.self_attn.in_proj_weight,0.3511,0.0042,-0.0001,1.3240
3,transformer.layers.2.self_attn.in_proj_bias,0.2532,-0.0036,-0.0546,2.3083
3,transformer.layers.2.self_attn.out_proj.weight,0.2509,0.0024,-0.0013,1.9775
3,transformer.layers.2.self_attn.out_proj.bias,0.2167,0.0394,-0.0103,1.6891
3,transformer.layers.2.linear1.weight,0.3409,0.0020,0.0081,1.5715
3,transformer.layers.2.linear1.bias,0.5883,0.2875,0.4118,1.2074
3,transformer.layers.2.linear2.weight,0.2627,0.0038,0.0046,1.5237
3,transformer.layers.2.linear2.bias,0.2331,0.0232,-0.1030,1.6414
3,transformer.layers.2.norm1.weight,0.9055,0.6160,0.6488,1.2856
3,transformer.layers.2.norm1.bias,0.6452,-0.0976,-0.0665,0.8996
3,transformer.layers.2.norm2.weight,0.8596,0.4663,0.4502,1.3887
3,transformer.layers.2.norm2.bias,0.4947,0.0330,0.0354,1.3295
3,transformer.layers.3.self_attn.in_proj_weight,0.3632,-0.0026,-0.0005,1.3156
3,transformer.layers.3.self_attn.in_proj_bias,0.1437,-0.0539,-0.1224,1.9224
3,transformer.layers.3.self_attn.out_proj.weight,0.2832,0.0022,-0.0004,1.8352
3,transformer.layers.3.self_attn.out_proj.bias,0.0918,-0.0326,0.0111,2.5397
3,transformer.layers.3.linear1.weight,0.3407,-0.0040,-0.0023,1.7644
3,transformer.layers.3.linear1.bias,0.5499,0.2291,0.5136,1.3541
3,transformer.layers.3.linear2.weight,0.3031,0.0010,-0.0048,1.4752
3,transformer.layers.3.linear2.bias,0.1944,-0.0029,-0.0983,1.6791
3,transformer.layers.3.norm1.weight,0.9147,0.6018,0.6291,0.9938
3,transformer.layers.3.norm1.bias,0.5131,-0.0502,-0.0633,1.2813
3,transformer.layers.3.norm2.weight,0.8665,0.3473,0.3035,1.5943
3,transformer.layers.3.norm2.bias,0.1830,0.0039,0.0188,2.2127
3,transformer.layers.4.self_attn.in_proj_weight,0.3790,-0.0005,-0.0025,1.3097
3,transformer.layers.4.self_attn.in_proj_bias,0.1309,-0.0728,0.0444,1.3196
3,transformer.layers.4.self_attn.out_proj.weight,0.2766,-0.0018,-0.0048,1.6747
3,transformer.layers.4.self_attn.out_proj.bias,0.0898,0.0070,0.0136,1.7606
3,transformer.layers.4.linear1.weight,0.2596,-0.0020,0.0195,2.1591
3,transformer.layers.4.linear1.bias,0.5849,0.3665,0.6938,1.5066
3,transformer.layers.4.linear2.weight,0.1900,-0.0006,0.0003,2.1570
3,transformer.layers.4.linear2.bias,0.2642,0.0040,-0.0635,1.3294
3,transformer.layers.4.norm1.weight,0.9095,0.6340,0.6605,1.1510
3,transformer.layers.4.norm1.bias,0.3687,-0.0524,-0.0205,2.5115
3,transformer.layers.4.norm2.weight,0.7743,-0.0615,0.0070,2.2826
3,transformer.layers.4.norm2.bias,0.1378,-0.0946,0.0997,4.1860
3,transformer.layers.5.self_attn.in_proj_weight,0.2727,-0.0029,-0.0010,1.7219
3,transformer.layers.5.self_attn.in_proj_bias,0.1611,-0.1315,0.0307,1.2472
3,transformer.layers.5.self_attn.out_proj.weight,0.1561,0.0020,0.0026,2.5911
3,transformer.layers.5.self_attn.out_proj.bias,0.1838,0.0587,0.0859,1.4859
3,transformer.layers.5.linear1.weight,0.2420,-0.0036,0.0022,3.1120
3,transformer.layers.5.linear1.bias,0.3807,0.1315,0.4250,1.3904
3,transformer.layers.5.linear2.weight,0.1348,0.0025,-0.0042,2.7769
3,transformer.layers.5.linear2.bias,0.3531,0.0178,-0.0745,1.1664
3,transformer.layers.5.norm1.weight,0.8147,0.4435,0.5293,2.0291
3,transformer.layers.5.norm1.bias,0.3250,-0.0265,-0.0193,1.6780
3,transformer.layers.5.norm2.weight,0.6336,-0.0702,-0.0229,7.4907
3,transformer.layers.5.norm2.bias,0.1798,-0.0890,-0.0507,2.8539
3,final_norm.weight,0.4957,0.1113,0.0053,3.5103
3,final_norm.bias,0.5502,-0.1121,-0.0484,1.1818
4,transformer.layers.0.self_attn.in_proj_weight,0.3943,0.0030,0.0024,1.7564
4,transformer.layers.0.self_attn.in_proj_bias,0.0534,-0.0435,0.0151,2.2370
4,transformer.layers.0.self_attn.out_proj.weight,0.2667,-0.0015,0.0001,1.8015
4,transformer.layers.0.self_attn.out_proj.bias,0.4258,0.0434,0.0453,1.1623
4,transformer.layers.0.linear1.weight,0.4929,-0.0038,-0.0014,0.9583
4,transformer.layers.0.linear1.bias,0.8033,0.3638,0.2538,0.7470
4,transformer.layers.0.linear2.weight,0.2596,0.0061,0.0012,1.5515
4,transformer.layers.0.linear2.bias,0.2422,-0.0319,-0.0341,1.8353
4,transformer.layers.0.norm1.weight,0.5633,0.0725,-0.0165,2.6537
4,transformer.layers.0.norm1.bias,0.8220,-0.1291,-0.0913,0.8069
4,transformer.layers.0.norm2.weight,0.8452,0.2610,0.2284,0.5464
4,transformer.layers.0.norm2.bias,0.3704,0.0155,-0.0317,0.9295
4,transformer.layers.1.self_attn.in_proj_weight,0.3426,-0.0006,-0.0010,1.5340
