seed,epoch,loss_A,loss_B,eval_set,A_EM,B_EM,A_PD,B_PD
0,101,0.003,0.0018,7dig,0.0,0.0,42.8,43.5
0,106,0.0026,0.0015,id,100.0,100.0,100.0,100.0
0,106,0.0026,0.0015,5dig,60.6,71.0,92.5,94.6
0,106,0.0026,0.0015,6dig,0.0,0.0,50.6,50.4
0,106,0.0026,0.0015,7dig,0.0,0.0,42.0,42.2
0,111,0.0126,0.0014,id,100.0,100.0,100.0,100.0
0,111,0.0126,0.0014,5dig,89.8,80.6,98.2,96.5
0,111,0.0126,0.0014,6dig,1.8,0.0,64.4,51.6
0,111,0.0126,0.0014,7dig,0.0,0.0,43.5,42.7
0,116,0.0017,0.0015,id,100.0,100.0,100.0,100.0
0,116,0.0017,0.0015,5dig,68.5,96.3,94.1,99.3
0,116,0.0017,0.0015,6dig,0.0,4.9,52.3,69.0
0,116,0.0017,0.0015,7dig,0.0,0.0,43.6,46.1
0,121,0.0016,0.0013,id,100.0,100.0,100.0,100.0
0,121,0.0016,0.0013,5dig,90.3,77.3,98.3,95.8
0,121,0.0016,0.0013,6dig,3.2,0.2,66.5,53.2
0,121,0.0016,0.0013,7dig,0.0,0.0,44.1,43.5
0,126,0.0038,0.0015,id,100.0,100.0,100.0,100.0
0,126,0.0038,0.0015,5dig,78.5,88.5,96.1,97.9
0,126,0.0038,0.0015,6dig,0.0,0.3,53.4,57.7
0,126,0.0038,0.0015,7dig,0.0,0.0,42.7,45.8
0,131,0.0016,0.0018,id,100.0,100.0,100.0,100.0
0,131,0.0016,0.0018,5dig,56.5,56.0,92.0,91.8
0,131,0.0016,0.0018,6dig,0.1,0.0,52.6,52.6
0,131,0.0016,0.0018,7dig,0.0,0.0,43.0,44.5
0,136,0.0017,0.0008,id,100.0,100.0,100.0,100.0
0,136,0.0017,0.0008,5dig,68.7,80.3,94.1,96.4
0,136,0.0017,0.0008,6dig,0.0,0.4,50.0,55.9
0,136,0.0017,0.0008,7dig,0.0,0.0,40.9,44.0
0,141,0.0012,0.0009,id,100.0,100.0,100.0,100.0
0,141,0.0012,0.0009,5dig,88.1,73.0,97.9,95.0
0,141,0.0012,0.0009,6dig,0.8,0.2,62.5,53.3
0,141,0.0012,0.0009,7dig,0.0,0.0,43.0,44.5
0,146,0.0013,0.0011,id,100.0,100.0,100.0,100.0
0,146,0.0013,0.0011,5dig,93.1,84.5,98.7,97.1
0,146,0.0013,0.0011,6dig,3.2,0.2,67.8,54.3
0,146,0.0013,0.0011,7dig,0.0,0.0,43.6,44.7
0,151,0.0011,0.0291,id,100.0,100.0,100.0,100.0
0,151,0.0011,0.0291,5dig,85.7,84.1,97.4,97.1
0,151,0.0011,0.0291,6dig,1.4,0.9,63.7,58.6
0,151,0.0011,0.0291,7dig,0.0,0.0,43.0,43.6
0,156,0.0012,0.0011,id,100.0,100.0,100.0,100.0
0,156,0.0012,0.0011,5dig,85.8,72.5,97.4,94.9
0,156,0.0012,0.0011,6dig,0.6,0.4,59.0,56.8
0,156,0.0012,0.0011,7dig,0.0,0.0,42.6,44.4
0,161,0.0014,0.0008,id,100.0,100.0,100.0,100.0
0,161,0.0014,0.0008,5dig,87.0,95.8,97.6,99.3
0,161,0.0014,0.0008,6dig,1.2,3.5,64.0,68.3
0,161,0.0014,0.0008,7dig,0.0,0.0,43.9,46.3
0,166,0.0011,0.0007,id,100.0,100.0,100.0,100.0
0,166,0.0011,0.0007,5dig,77.0,90.2,95.8,98.2
0,166,0.0011,0.0007,6dig,0.2,0.8,56.8,58.7
0,166,0.0011,0.0007,7dig,0.0,0.0,41.8,43.1
0,171,0.001,0.0009,id,100.0,100.0,100.0,100.0
0,171,0.001,0.0009,5dig,66.9,84.8,94.0,97.2
0,171,0.001,0.0009,6dig,0.8,0.7,62.7,58.6
0,171,0.001,0.0009,7dig,0.0,0.0,42.7,44.3
0,176,0.001,0.001,id,100.0,100.0,100.0,100.0
0,176,0.001,0.001,5dig,73.2,76.2,95.2,95.5
0,176,0.001,0.001,6dig,0.3,0.1,58.2,52.9
0,176,0.001,0.001,7dig,0.0,0.0,42.6,43.7
0,181,0.001,0.0013,id,100.0,100.0,100.0,100.0
0,181,0.001,0.0013,5dig,73.4,69.4,95.1,94.3
0,181,0.001,0.0013,6dig,0.3,0.2,56.5,55.4
0,181,0.001,0.0013,7dig,0.0,0.0,42.4,45.0
0,186,0.0011,0.0007,id,100.0,100.0,100.0,100.0
0,186,0.0011,0.0007,5dig,63.6,73.3,93.3,94.9
0,186,0.0011,0.0007,6dig,0.2,0.2,56.3,52.8
0,186,0.0011,0.0007,7dig,0.0,0.0,42.3,43.1
0,191,0.0008,0.0008,id,100.0,100.0,100.0,100.0
0,191,0.0008,0.0008,5dig,91.0,85.3,98.4,97.3
0,191,0.0008,0.0008,6dig,0.9,0.1,59.7,53.6
0,191,0.0008,0.0008,7dig,0.0,0.0,43.3,43.3
0,196,0.001,0.0006,id,100.0,100.0,100.0,100.0
0,196,0.001,0.0006,5dig,91.1,80.7,98.4,96.5
0,196,0.001,0.0006,6dig,1.9,0.4,63.8,55.8
0,196,0.001,0.0006,7dig,0.0,0.0,43.2,44.0
0,201,0.0007,0.0005,id,100.0,100.0,100.0,100.0
0,201,0.0007,0.0005,5dig,67.2,63.6,94.1,93.0
0,201,0.0007,0.0005,6dig,0.6,0.0,61.1,50.2
0,201,0.0007,0.0005,7dig,0.0,0.0,42.9,43.0
0,206,0.0007,0.001,id,100.0,99.8,100.0,100.0
0,206,0.0007,0.001,5dig,95.0,43.0,99.1,87.7
0,206,0.0007,0.001,6dig,5.9,0.0,70.7,49.5
0,206,0.0007,0.001,7dig,0.0,0.0,43.2,42.6
0,211,0.0007,0.0005,id,100.0,100.0,100.0,100.0
0,211,0.0007,0.0005,5dig,87.9,68.1,97.8,94.0
0,211,0.0007,0.0005,6dig,2.7,0.1,69.6,51.7
0,211,0.0007,0.0005,7dig,0.0,0.0,43.5,43.1
0,216,0.0006,0.0007,id,100.0,100.0,100.0,100.0
0,216,0.0006,0.0007,5dig,64.4,68.5,93.3,94.0
0,216,0.0006,0.0007,6dig,0.1,0.0,54.6,50.1
0,216,0.0006,0.0007,7dig,0.0,0.0,42.5,42.2
0,221,0.0006,0.0004,id,100.0,100.0,100.0,100.0
0,221,0.0006,0.0004,5dig,98.2,70.0,99.7,94.3
0,221,0.0006,0.0004,6dig,10.4,0.1,75.1,52.0
0,221,0.0006,0.0004,7dig,0.0,0.0,44.2,42.4
0,226,0.0005,0.0193,id,100.0,100.0,100.0,100.0
0,226,0.0005,0.0193,5dig,81.6,93.4,96.7,98.8
0,226,0.0005,0.0193,6dig,1.0,5.3,60.3,74.4
0,226,0.0005,0.0193,7dig,0.0,0.0,42.5,46.6
0,231,0.0009,0.0005,id,100.0,100.0,100.0,100.0
0,231,0.0009,0.0005,5dig,89.7,91.0,98.1,98.4
0,231,0.0009,0.0005,6dig,1.4,1.0,64.7,60.1
0,231,0.0009,0.0005,7dig,0.0,0.0,43.7,44.1
0,236,0.0007,0.0004,id,100.0,100.0,100.0,100.0
0,236,0.0007,0.0004,5dig,63.6,75.3,93.4,95.3
0,236,0.0007,0.0004,6dig,0.2,0.2,57.6,52.3
0,236,0.0007,0.0004,7dig,0.0,0.0,42.1,42.9
0,241,0.0009,0.0004,id,100.0,100.0,100.0,100.0
0,241,0.0009,0.0004,5dig,74.2,72.8,95.4,94.8
0,241,0.0009,0.0004,6dig,0.5,0.0,59.3,52.4
0,241,0.0009,0.0004,7dig,0.0,0.0,42.1,43.4
0,246,0.0007,0.0003,id,100.0,100.0,100.0,100.0
0,246,0.0007,0.0003,5dig,80.8,50.3,96.6,89.1
0,246,0.0007,0.0003,6dig,1.3,0.0,66.5,48.7
0,246,0.0007,0.0003,7dig,0.0,0.0,43.8,43.2
0,251,0.0012,0.0006,id,100.0,100.0,100.0,100.0
0,251,0.0012,0.0006,5dig,81.9,54.7,96.7,91.3
0,251,0.0012,0.0006,6dig,0.1,0.0,54.5,48.5
0,251,0.0012,0.0006,7dig,0.0,0.0,40.8,41.6
0,256,0.0006,0.0004,id,100.0,100.0,100.0,100.0
0,256,0.0006,0.0004,5dig,87.7,64.6,97.8,93.4
0,256,0.0006,0.0004,6dig,3.5,0.0,67.4,49.9
0,256,0.0006,0.0004,7dig,0.0,0.0,42.7,42.3
0,261,0.0005,0.0003,id,100.0,100.0,100.0,100.0
0,261,0.0005,0.0003,5dig,76.3,79.7,95.6,96.2
0,261,0.0005,0.0003,6dig,0.3,0.1,55.4,52.2
0,261,0.0005,0.0003,7dig,0.0,0.0,41.3,42.7
0,266,0.0004,0.0002,id,100.0,100.0,100.0,100.0
0,266,0.0004,0.0002,5dig,88.4,83.0,97.9,96.9
0,266,0.0004,0.0002,6dig,0.9,0.0,64.8,54.3
0,266,0.0004,0.0002,7dig,0.0,0.0,43.3,43.3
0,271,0.0006,0.0002,id,100.0,100.0,100.0,100.0
0,271,0.0006,0.0002,5dig,75.8,83.5,95.7,97.0
0,271,0.0006,0.0002,6dig,0.7,0.1,62.8,52.2
0,271,0.0006,0.0002,7dig,0.0,0.0,43.3,43.2
0,276,0.0007,0.0002,id,100.0,100.0,100.0,100.0
0,276,0.0007,0.0002,5dig,52.1,89.7,91.3,98.1
0,276,0.0007,0.0002,6dig,0.5,0.6,56.6,55.7
0,276,0.0007,0.0002,7dig,0.0,0.0,40.8,44.7
0,281,0.0184,0.0003,id,100.0,100.0,100.0,100.0
0,281,0.0184,0.0003,5dig,75.1,94.8,95.4,99.1
0,281,0.0184,0.0003,6dig,0.2,0.6,52.4,58.9
0,281,0.0184,0.0003,7dig,0.0,0.0,41.2,44.9
0,286,0.0005,0.0006,id,100.0,100.0,100.0,100.0
0,286,0.0005,0.0006,5dig,45.1,67.5,89.8,93.6
0,286,0.0005,0.0006,6dig,0.3,0.0,59.3,47.4
0,286,0.0005,0.0006,7dig,0.0,0.0,42.1,41.3
0,291,0.0009,0.0005,id,100.0,100.0,100.0,100.0
0,291,0.0009,0.0005,5dig,96.1,69.2,99.3,94.2
0,291,0.0009,0.0005,6dig,6.7,0.0,77.2,49.8
0,291,0.0009,0.0005,7dig,0.0,0.0,45.5,42.6
0,296,0.0006,0.0007,id,100.0,100.0,100.0,100.0
0,296,0.0006,0.0007,5dig,75.6,74.3,95.6,95.0
0,296,0.0006,0.0007,6dig,0.9,0.1,65.8,50.2
0,296,0.0006,0.0007,7dig,0.0,0.0,44.3,41.5
0,300,0.0005,0.0004,id,100.0,100.0,100.0,100.0
0,300,0.0005,0.0004,5dig,82.0,76.4,96.8,95.4
0,300,0.0005,0.0004,6dig,1.5,0.0,66.7,49.2
0,300,0.0005,0.0004,7dig,0.0,0.0,43.0,41.7
1,1,2.2786,1.4441,id,0.0,0.1,11.7,20.8
1,1,2.2786,1.4441,5dig,0.0,0.0,10.9,20.5
1,1,2.2786,1.4441,6dig,0.0,0.0,9.3,19.0
1,1,2.2786,1.4441,7dig,0.0,0.0,7.9,17.8
1,6,0.6519,0.335,id,0.6,48.4,44.3,86.5
1,6,0.6519,0.335,5dig,0.1,12.6,39.1,74.8
1,6,0.6519,0.335,6dig,0.0,1.4,33.3,63.9
1,6,0.6519,0.335,7dig,0.0,0.1,29.4,55.3
1,11,0.242,0.0792,id,98.7,97.7,99.6,99.5
1,11,0.242,0.0792,5dig,70.6,12.0,94.5,77.6
1,11,0.242,0.0792,6dig,0.1,0.0,53.2,50.6
1,11,0.242,0.0792,7dig,0.0,0.0,37.2,42.0
1,16,0.0962,0.0283,id,99.2,99.0,99.8,99.8
1,16,0.0962,0.0283,5dig,77.3,71.0,95.9,94.6
1,16,0.0962,0.0283,6dig,0.3,0.1,56.5,56.3
1,16,0.0962,0.0283,7dig,0.0,0.0,40.0,42.6
1,21,0.0396,0.0161,id,99.5,100.0,99.9,100.0
1,21,0.0396,0.0161,5dig,80.3,32.1,96.4,84.9
1,21,0.0396,0.0161,6dig,1.1,0.0,61.1,49.1
1,21,0.0396,0.0161,7dig,0.0,0.0,40.7,41.2
1,26,0.0192,0.0108,id,99.8,99.9,100.0,100.0
1,26,0.0192,0.0108,5dig,80.7,61.6,96.5,92.7
1,26,0.0192,0.0108,6dig,1.2,0.0,61.9,51.6
1,26,0.0192,0.0108,7dig,0.0,0.0,41.8,41.6
1,31,0.0121,0.0111,id,100.0,100.0,100.0,100.0
1,31,0.0121,0.0111,5dig,77.0,57.4,95.8,92.0
1,31,0.0121,0.0111,6dig,0.5,0.0,57.9,52.1
1,31,0.0121,0.0111,7dig,0.0,0.0,40.5,40.0
1,36,0.0086,0.0056,id,100.0,100.0,100.0,100.0
1,36,0.0086,0.0056,5dig,74.1,78.4,95.3,96.0
1,36,0.0086,0.0056,6dig,0.4,0.2,59.1,56.3
1,36,0.0086,0.0056,7dig,0.0,0.0,40.7,42.5
1,41,0.0077,0.0055,id,99.5,100.0,99.9,100.0
1,41,0.0077,0.0055,5dig,92.7,82.9,98.7,96.8
1,41,0.0077,0.0055,6dig,7.5,0.4,74.0,56.0
1,41,0.0077,0.0055,7dig,0.0,0.0,42.2,41.5
1,46,0.0056,0.0054,id,100.0,100.0,100.0,100.0
1,46,0.0056,0.0054,5dig,84.0,51.0,97.1,89.8
1,46,0.0056,0.0054,6dig,2.0,0.0,63.3,49.1
1,46,0.0056,0.0054,7dig,0.0,0.0,40.2,40.8
1,51,0.0049,0.0037,id,100.0,100.0,100.0,100.0
1,51,0.0049,0.0037,5dig,83.8,79.4,97.1,96.2
1,51,0.0049,0.0037,6dig,2.4,0.1,63.2,53.8
1,51,0.0049,0.0037,7dig,0.0,0.0,40.6,42.5
1,56,0.004,0.0037,id,100.0,100.0,100.0,100.0
1,56,0.004,0.0037,5dig,85.2,89.1,97.3,98.0
1,56,0.004,0.0037,6dig,3.6,2.0,65.5,64.9
