seed,epoch,loss_A,loss_B,eval_set,A_EM,B_EM,A_PD,B_PD
0,136,0.0029,0.0008,6dig,6.3,0.4,75.0,55.9
0,141,0.0029,0.0009,id,99.7,100.0,99.9,100.0
0,141,0.0029,0.0009,5dig,98.3,73.0,99.7,95.0
0,141,0.0029,0.0009,6dig,36.0,0.2,88.2,53.3
0,146,0.0027,0.0011,id,100.0,100.0,100.0,100.0
0,146,0.0027,0.0011,5dig,82.9,84.5,97.0,97.1
0,146,0.0027,0.0011,6dig,1.7,0.2,67.4,54.3
0,151,0.0025,0.0291,id,100.0,100.0,100.0,100.0
0,151,0.0025,0.0291,5dig,81.8,84.1,96.7,97.1
0,151,0.0025,0.0291,6dig,1.2,0.9,67.9,58.6
0,156,0.0031,0.0011,id,100.0,100.0,100.0,100.0
0,156,0.0031,0.0011,5dig,89.2,72.5,98.1,94.9
0,156,0.0031,0.0011,6dig,6.7,0.4,75.4,56.8
0,161,0.0027,0.0008,id,100.0,100.0,100.0,100.0
0,161,0.0027,0.0008,5dig,91.2,95.8,98.4,99.3
0,161,0.0027,0.0008,6dig,6.5,3.5,77.1,68.3
0,166,0.002,0.0007,id,100.0,100.0,100.0,100.0
0,166,0.002,0.0007,5dig,93.2,90.2,98.8,98.2
0,166,0.002,0.0007,6dig,12.1,0.8,78.1,58.7
0,171,0.0023,0.0009,id,100.0,100.0,100.0,100.0
0,171,0.0023,0.0009,5dig,93.4,84.8,98.8,97.2
0,171,0.0023,0.0009,6dig,12.0,0.7,78.1,58.6
0,176,0.0016,0.001,id,100.0,100.0,100.0,100.0
0,176,0.0016,0.001,5dig,92.7,76.2,98.7,95.5
0,176,0.0016,0.001,6dig,5.3,0.1,74.0,52.9
0,181,0.0019,0.0013,id,100.0,100.0,100.0,100.0
0,181,0.0019,0.0013,5dig,90.4,69.4,98.3,94.3
0,181,0.0019,0.0013,6dig,4.5,0.2,75.0,55.4
0,186,0.0013,0.0007,id,100.0,100.0,100.0,100.0
0,186,0.0013,0.0007,5dig,94.9,73.3,99.1,94.9
0,186,0.0013,0.0007,6dig,8.3,0.2,74.9,52.8
0,191,0.0021,0.0008,id,100.0,100.0,100.0,100.0
0,191,0.0021,0.0008,5dig,90.1,85.3,98.2,97.3
0,191,0.0021,0.0008,6dig,4.1,0.1,71.2,53.6
0,196,0.0016,0.0006,id,100.0,100.0,100.0,100.0
