eval_set,metric,A_mean,A_std,B_mean,B_std,gap_mean,gap_std
id,EM,100.00,0.00,99.98,0.01,0.02,0.01
id,PD,100.00,0.00,100.00,0.00,0.00,0.00
5dig,EM,82.28,2.85,75.05,10.18,7.23,10.54
5dig,PD,96.80,0.53,95.11,2.15,1.69,2.22
6dig,EM,3.64,1.71,1.44,1.62,2.19,2.45
6dig,PD,65.29,2.78,56.62,6.12,8.66,7.37
7dig,EM,0.00,0.00,0.00,0.00,0.00,0.00
7dig,PD,44.23,2.76,44.27,1.38,-0.04,3.80
