epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.5784,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.8381,0.00,21.94,0.03,21.21,0.00,18.76,0.00,17.57
11,0.7631,0.20,31.54,0.00,29.69,0.00,27.12,0.00,24.51
16,0.7179,0.20,34.97,0.03,32.98,0.00,29.81,0.00,27.55
21,0.6505,0.55,39.70,0.10,36.39,0.00,32.46,0.00,29.39
26,0.4591,3.40,55.82,0.23,48.30,0.00,42.61,0.00,37.12
31,0.2640,64.30,91.11,16.20,76.34,0.93,60.49,0.03,49.23
36,0.1479,94.10,98.69,31.43,83.63,0.70,61.66,0.00,48.14
41,0.0934,98.90,99.76,34.73,85.18,0.20,56.68,0.00,43.73
46,0.0626,98.95,99.77,32.30,84.53,0.03,52.21,0.00,40.27
51,0.0470,99.55,99.89,64.70,93.20,0.37,59.64,0.00,42.70
56,0.0349,99.80,99.96,57.83,91.91,0.33,55.90,0.00,38.55
61,0.0273,99.80,99.96,62.87,92.75,0.17,53.83,0.00,37.95
66,0.0218,99.80,99.96,66.17,93.54,0.10,53.52,0.00,35.86
71,0.0175,99.65,99.92,73.13,95.05,0.23,54.31,0.00,33.45
76,0.0141,99.90,99.98,71.10,94.73,0.23,52.69,0.00,33.05
81,0.0122,99.95,99.99,62.37,92.83,0.10,47.92,0.00,31.24
86,0.0105,99.75,99.94,72.13,94.84,0.10,49.95,0.00,31.52
91,0.0093,99.95,99.99,62.90,92.89,0.03,46.54,0.00,30.96
96,0.0082,100.00,100.00,64.07,93.23,0.10,46.42,0.00,30.20
101,0.0073,100.00,100.00,67.57,93.96,0.07,47.81,0.00,30.39
106,0.0066,100.00,100.00,58.43,91.93,0.03,45.64,0.00,29.92
111,0.0061,100.00,100.00,75.63,95.64,0.30,54.55,0.00,30.84
116,0.0054,100.00,100.00,67.30,94.06,0.10,50.66,0.00,31.40
121,0.0050,100.00,100.00,78.53,96.13,0.20,50.13,0.00,30.47
126,0.0039,100.00,100.00,76.83,95.86,0.23,52.57,0.00,30.43
131,0.0038,100.00,100.00,74.83,95.45,0.20,51.57,0.00,31.35
136,0.0032,100.00,100.00,68.93,94.37,0.00,47.69,0.00,31.23
141,0.0032,100.00,100.00,75.93,95.68,0.13,53.29,0.00,32.72
146,0.0028,100.00,100.00,88.23,97.88,0.23,54.94,0.00,33.13
151,0.0028,100.00,100.00,64.03,93.50,0.07,47.11,0.00,30.52
156,0.0035,100.00,100.00,87.00,97.67,0.07,50.21,0.00,30.14
161,0.0024,100.00,100.00,89.63,98.15,0.70,54.96,0.00,30.34
166,0.0025,100.00,100.00,88.50,97.95,0.20,52.77,0.00,30.75
171,0.0024,100.00,100.00,88.37,97.92,0.47,58.50,0.00,33.49
176,0.0019,100.00,100.00,64.27,93.45,0.07,50.68,0.00,32.33
181,0.0018,100.00,100.00,84.83,97.29,1.27,62.87,0.00,33.62
186,0.0017,100.00,100.00,81.13,96.64,0.13,51.32,0.00,32.59
191,0.0019,100.00,100.00,91.83,98.54,1.57,61.60,0.00,32.57
196,0.0017,100.00,100.00,88.47,97.94,0.30,54.93,0.00,31.77
201,0.0016,100.00,100.00,77.70,96.00,0.07,51.85,0.00,30.75
206,0.0014,100.00,100.00,80.43,96.47,0.80,59.86,0.00,31.55
211,0.0014,100.00,100.00,71.97,94.90,0.13,51.30,0.00,30.85
216,0.0016,100.00,100.00,93.27,98.80,2.13,62.07,0.00,32.33
221,0.0011,100.00,100.00,84.83,97.27,0.50,53.17,0.00,30.14
226,0.0016,99.90,99.98,95.10,99.13,8.63,71.98,0.00,34.02
231,0.0013,100.00,100.00,54.73,91.77,0.03,51.53,0.00,31.83
236,0.0016,100.00,100.00,49.90,90.96,0.07,51.40,0.00,30.30
241,0.0009,100.00,100.00,76.83,95.84,0.07,51.41,0.00,29.68
246,0.0011,100.00,100.00,82.33,96.85,0.17,54.22,0.00,34.48
251,0.0009,100.00,100.00,76.00,95.72,0.00,48.76,0.00,31.03
256,0.0009,100.00,100.00,32.97,87.61,0.07,49.56,0.00,32.75
261,0.0010,100.00,100.00,81.97,96.78,0.57,61.83,0.00,33.73
266,0.0008,100.00,100.00,88.17,97.89,0.60,58.95,0.00,31.20
271,0.0010,100.00,100.00,86.00,97.49,0.30,52.30,0.00,31.31
276,0.0008,100.00,100.00,80.27,96.48,0.53,56.34,0.00,32.27
281,0.0007,100.00,100.00,61.80,93.14,0.03,47.65,0.00,30.23
286,0.0006,100.00,100.00,64.10,93.54,0.07,50.20,0.00,31.84
291,0.0007,100.00,100.00,62.83,93.32,0.27,60.58,0.00,34.01
296,0.0007,100.00,100.00,84.03,97.14,1.10,61.96,0.00,31.56
300,0.0008,100.00,100.00,78.90,96.23,0.07,49.35,0.00,30.38
