epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.5043,0.00,11.69,0.00,10.87,0.00,9.29,0.00,7.89
6,0.7853,0.15,29.98,0.00,28.50,0.00,25.80,0.00,23.27
11,0.6418,1.35,48.19,0.00,42.20,0.00,35.07,0.00,29.80
16,0.2434,98.90,99.76,26.17,82.14,0.03,52.99,0.00,41.39
21,0.0966,99.75,99.94,81.47,96.60,1.37,65.09,0.00,48.48
26,0.0518,99.75,99.94,36.37,86.14,0.03,52.60,0.00,43.52
31,0.0333,100.00,100.00,73.70,95.03,0.53,61.49,0.00,45.94
36,0.0249,100.00,100.00,77.50,95.91,0.57,62.31,0.00,44.21
41,0.0195,100.00,100.00,96.37,99.35,13.20,79.66,0.00,49.96
46,0.0151,100.00,100.00,88.17,97.84,2.10,65.37,0.00,44.85
51,0.0122,100.00,100.00,91.10,98.41,2.37,68.73,0.00,43.11
56,0.0095,100.00,100.00,94.43,99.01,7.60,75.59,0.00,44.71
61,0.0073,100.00,100.00,76.43,95.73,0.63,60.99,0.00,40.64
66,0.0073,100.00,100.00,69.00,94.19,0.37,60.06,0.00,40.12
71,0.0061,100.00,100.00,76.80,95.69,0.50,58.79,0.00,40.81
76,0.0052,100.00,100.00,86.90,97.66,0.67,60.03,0.00,40.18
81,0.0065,100.00,100.00,81.27,96.62,0.93,60.97,0.00,39.19
86,0.0040,100.00,100.00,75.30,95.45,0.10,54.43,0.00,36.32
91,0.0032,100.00,100.00,73.83,95.13,0.10,54.70,0.00,36.88
96,0.0029,100.00,100.00,82.63,96.86,0.57,60.59,0.00,40.01
101,0.0032,100.00,100.00,91.27,98.42,1.60,63.90,0.00,39.29
106,0.0027,100.00,100.00,93.10,98.77,3.07,65.64,0.00,39.77
111,0.0023,100.00,100.00,76.03,95.57,0.40,59.82,0.00,39.69
116,0.0028,100.00,100.00,84.77,97.27,1.83,69.19,0.00,41.91
121,0.0025,100.00,100.00,45.70,89.07,0.13,51.70,0.00,38.09
126,0.0023,100.00,100.00,86.10,97.50,1.13,64.46,0.00,41.16
131,0.0018,100.00,100.00,67.57,94.05,0.57,63.09,0.00,39.59
136,0.0017,100.00,100.00,81.50,96.65,1.57,65.50,0.00,40.55
141,0.0020,100.00,100.00,65.73,93.58,0.30,55.29,0.00,39.57
146,0.0016,100.00,100.00,97.10,99.48,10.43,73.90,0.00,41.85
151,0.0022,100.00,100.00,70.80,94.54,1.07,61.55,0.00,38.41
156,0.0022,100.00,100.00,96.77,99.42,9.30,74.04,0.00,40.76
161,0.0017,100.00,100.00,75.37,95.51,0.20,57.57,0.00,39.20
166,0.0114,100.00,100.00,74.53,95.32,0.77,62.59,0.00,40.51
171,0.0012,100.00,100.00,94.63,99.04,4.73,71.75,0.00,41.14
176,0.0011,100.00,100.00,61.80,92.98,0.37,61.38,0.00,39.79
181,0.0014,100.00,100.00,77.40,95.91,0.70,62.99,0.00,39.35
186,0.0019,100.00,100.00,72.50,94.94,0.33,55.11,0.00,38.73
191,0.0012,100.00,100.00,57.20,92.07,0.33,56.72,0.00,38.24
196,0.0018,100.00,100.00,92.63,98.69,1.40,64.39,0.00,39.12
201,0.0025,100.00,100.00,50.63,90.57,0.37,58.84,0.00,37.24
206,0.0009,100.00,100.00,83.77,97.04,0.97,58.69,0.00,37.71
211,0.0010,100.00,100.00,63.87,93.24,0.23,55.94,0.00,36.12
216,0.0016,100.00,100.00,90.07,98.23,3.30,69.18,0.00,39.88
221,0.0010,100.00,100.00,94.10,98.94,2.27,62.82,0.00,39.02
226,0.0008,100.00,100.00,76.40,95.77,0.63,59.03,0.00,34.75
231,0.0009,100.00,100.00,89.57,98.14,1.70,61.70,0.00,36.07
236,0.0007,100.00,100.00,73.83,95.29,0.63,62.28,0.00,36.26
241,0.0009,100.00,100.00,92.10,98.54,6.90,65.89,0.00,36.34
246,0.0007,100.00,100.00,98.63,99.76,12.47,76.50,0.00,39.58
251,0.0099,100.00,100.00,46.13,89.32,0.20,49.91,0.00,32.55
256,0.0006,100.00,100.00,78.93,96.23,0.60,58.36,0.00,35.26
261,0.0008,100.00,100.00,74.03,95.15,0.20,51.98,0.00,34.79
266,0.0007,100.00,100.00,82.63,96.82,0.30,54.89,0.00,36.01
271,0.0008,100.00,100.00,91.50,98.46,0.77,60.14,0.00,36.28
276,0.0008,100.00,100.00,93.23,98.79,2.40,66.38,0.00,37.91
281,0.0007,100.00,100.00,90.33,98.28,4.17,70.96,0.00,40.40
286,0.0248,100.00,100.00,82.17,96.74,5.83,61.81,0.00,35.83
291,0.0005,100.00,100.00,91.07,98.40,0.97,57.40,0.00,37.26
296,0.0005,100.00,100.00,92.80,98.72,1.13,57.30,0.00,36.22
300,0.0005,100.00,100.00,83.53,97.05,0.53,58.77,0.00,36.23
