epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.0998,0.05,14.28,0.00,13.50,0.00,11.38,0.00,9.83
6,0.4734,4.35,62.38,0.63,52.29,0.00,43.72,0.00,37.45
11,0.0820,97.80,99.32,54.73,91.01,0.00,50.43,0.00,43.72
16,0.0349,99.70,99.93,28.17,83.58,0.00,47.71,0.00,41.69
21,0.0212,99.15,99.81,26.67,83.29,0.00,47.68,0.00,41.85
26,0.0142,100.00,100.00,52.80,90.74,0.00,50.38,0.00,43.58
31,0.0100,99.90,99.98,75.53,95.48,0.07,55.93,0.00,44.91
36,0.0077,99.95,99.99,72.13,94.91,0.30,58.12,0.00,43.83
41,0.0057,99.95,99.99,86.63,97.62,2.43,66.18,0.00,45.76
46,0.0049,99.95,99.99,88.60,97.93,1.43,61.96,0.00,45.24
51,0.0044,100.00,100.00,59.00,92.19,0.03,51.12,0.00,43.37
56,0.0039,100.00,100.00,65.63,93.48,0.07,51.81,0.00,43.19
61,0.0028,100.00,100.00,67.80,94.00,0.03,52.97,0.00,44.17
66,0.0031,99.95,99.99,81.90,96.72,0.23,57.20,0.00,44.67
71,0.0026,100.00,100.00,89.77,98.18,2.63,69.05,0.00,46.17
76,0.0022,100.00,100.00,69.77,94.34,0.20,54.36,0.00,43.37
81,0.0020,99.75,99.94,95.00,99.10,11.33,76.28,0.00,45.53
86,0.0016,99.90,99.98,44.13,88.02,0.00,47.93,0.00,41.98
91,0.0021,100.00,100.00,88.93,98.01,1.17,61.25,0.00,44.11
96,0.0013,100.00,100.00,66.60,93.91,0.50,60.27,0.00,43.66
101,0.0013,100.00,100.00,95.27,99.16,6.40,70.91,0.00,44.68
106,0.0010,100.00,100.00,78.97,96.16,0.10,53.89,0.00,42.14
111,0.0011,100.00,100.00,54.87,91.43,0.07,52.30,0.00,40.49
116,0.0014,100.00,100.00,70.33,94.47,0.03,54.43,0.00,39.93
121,0.0010,100.00,100.00,93.87,98.91,3.83,65.39,0.00,42.84
126,0.0016,100.00,100.00,83.73,97.08,0.70,60.19,0.00,42.04
131,0.0010,100.00,100.00,84.03,97.09,0.40,56.66,0.00,40.14
136,0.0009,100.00,100.00,75.57,95.50,0.87,63.34,0.00,41.88
141,0.0008,100.00,100.00,86.53,97.58,0.20,56.44,0.00,40.44
146,0.0008,100.00,100.00,78.43,96.13,0.93,61.48,0.00,39.82
151,0.0014,100.00,100.00,75.97,95.66,1.30,61.34,0.00,38.99
156,0.0005,100.00,100.00,61.43,92.94,0.13,53.97,0.00,38.56
161,0.0015,100.00,100.00,92.43,98.65,1.40,59.64,0.00,41.33
166,0.0005,100.00,100.00,68.67,94.21,0.17,52.93,0.00,38.89
171,0.0013,100.00,100.00,95.40,99.18,8.33,77.95,0.00,45.77
176,0.0007,100.00,100.00,71.23,94.77,0.30,57.28,0.00,39.65
181,0.0008,100.00,100.00,84.67,97.25,0.20,55.11,0.00,39.16
186,0.0008,100.00,100.00,97.27,99.51,7.20,72.02,0.00,40.37
191,0.0005,100.00,100.00,88.80,97.98,0.13,53.44,0.00,37.07
196,0.0004,100.00,100.00,91.53,98.49,1.17,64.04,0.00,37.66
201,0.0007,100.00,100.00,98.10,99.66,2.67,69.30,0.00,37.16
206,0.0004,100.00,100.00,77.07,95.57,0.03,50.47,0.00,37.00
211,0.0005,100.00,100.00,95.10,99.13,4.20,73.71,0.00,40.84
216,0.0005,100.00,100.00,68.10,94.16,0.20,56.09,0.00,43.65
221,0.0006,100.00,100.00,80.27,96.43,0.23,55.35,0.00,41.94
226,0.0005,100.00,100.00,87.97,97.86,1.37,63.70,0.00,43.23
231,0.0005,100.00,100.00,87.03,97.69,0.43,59.63,0.00,40.66
236,0.0004,100.00,100.00,92.83,98.72,2.67,66.58,0.00,41.99
241,0.0003,100.00,100.00,62.53,93.28,0.33,59.42,0.00,40.02
246,0.0006,100.00,100.00,47.63,90.18,0.33,55.90,0.00,39.65
251,0.0005,100.00,100.00,91.17,98.43,2.27,70.62,0.00,42.04
256,0.0004,100.00,100.00,57.53,91.96,0.00,50.16,0.00,36.88
261,0.0003,100.00,100.00,90.97,98.38,1.37,64.01,0.00,40.96
266,0.0004,100.00,100.00,92.87,98.73,2.40,64.81,0.00,41.73
271,0.0005,100.00,100.00,97.57,99.57,3.70,67.17,0.00,40.75
276,0.0083,100.00,100.00,81.90,96.75,0.17,56.03,0.00,38.89
281,0.0003,100.00,100.00,92.07,98.58,0.50,62.20,0.00,40.17
286,0.0004,100.00,100.00,98.93,99.81,2.23,67.64,0.00,42.55
291,0.0004,100.00,100.00,93.37,98.82,1.57,70.93,0.00,40.81
296,0.0006,100.00,100.00,36.47,87.99,0.27,59.51,0.00,39.86
300,0.0005,100.00,100.00,93.27,98.80,1.97,68.41,0.00,39.60
