epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.5123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.8207,0.05,22.95,0.00,21.41,0.00,19.34,0.00,18.19
11,0.7146,0.15,35.89,0.00,34.09,0.00,31.55,0.00,27.77
16,0.4871,7.40,63.19,0.77,56.02,0.03,47.87,0.00,40.65
21,0.2994,65.70,91.54,15.20,76.62,0.33,57.10,0.03,46.68
26,0.1521,98.35,99.63,49.43,89.55,0.50,59.99,0.03,48.34
31,0.0862,99.90,99.98,55.27,91.08,0.63,61.15,0.03,48.85
36,0.0530,99.95,99.99,43.70,88.83,0.63,59.41,0.00,46.65
41,0.0380,99.95,99.99,64.80,93.51,1.07,64.32,0.00,46.48
46,0.0266,100.00,100.00,77.80,96.01,2.17,68.30,0.00,47.51
51,0.0192,99.85,99.97,76.47,95.79,5.67,74.33,0.03,49.86
56,0.0161,100.00,100.00,79.57,96.33,2.70,68.82,0.00,47.09
61,0.0129,100.00,100.00,42.23,88.78,0.57,60.67,0.00,44.70
66,0.0101,100.00,100.00,78.50,96.13,1.57,66.39,0.00,46.02
71,0.0098,100.00,100.00,68.77,94.38,2.43,69.71,0.00,47.74
76,0.0081,100.00,100.00,87.60,97.79,6.47,74.83,0.00,47.80
81,0.0073,100.00,100.00,72.37,94.98,1.27,65.63,0.00,46.16
86,0.0061,100.00,100.00,50.60,90.86,0.47,60.80,0.00,44.64
91,0.0060,100.00,100.00,81.50,96.70,4.27,72.12,0.00,45.19
96,0.0052,100.00,100.00,49.93,90.74,0.97,62.36,0.00,44.45
101,0.0047,100.00,100.00,67.67,94.14,1.00,62.03,0.00,44.06
106,0.0042,100.00,100.00,93.40,98.82,15.27,81.72,0.00,49.21
111,0.0040,100.00,100.00,90.57,98.32,7.60,74.72,0.00,46.52
116,0.0036,100.00,100.00,74.20,95.36,1.70,67.98,0.00,45.45
121,0.0034,100.00,100.00,83.07,96.98,3.70,69.86,0.00,45.28
126,0.0169,100.00,100.00,88.93,98.00,3.47,68.80,0.00,47.59
131,0.0023,100.00,100.00,91.17,98.43,11.60,78.91,0.00,47.62
136,0.0023,100.00,100.00,78.93,96.24,3.73,73.74,0.00,47.87
141,0.0024,100.00,100.00,84.93,97.30,4.77,74.05,0.00,46.22
146,0.0031,100.00,100.00,85.60,97.43,2.27,65.38,0.00,44.06
151,0.0023,100.00,100.00,91.03,98.40,8.20,75.25,0.00,46.59
156,0.0023,100.00,100.00,72.67,95.06,1.30,65.66,0.00,44.38
161,0.0023,100.00,100.00,85.43,97.40,4.33,73.98,0.00,46.75
166,0.0017,100.00,100.00,88.37,97.93,3.77,69.84,0.00,44.30
171,0.0015,100.00,100.00,83.73,97.05,2.10,67.02,0.00,44.60
176,0.0017,100.00,100.00,81.57,96.71,1.93,67.03,0.00,44.29
181,0.0013,100.00,100.00,73.77,95.26,0.30,56.29,0.00,41.69
186,0.0015,100.00,100.00,89.90,98.20,5.93,76.41,0.00,45.41
191,0.0013,100.00,100.00,93.97,98.92,8.23,75.55,0.00,45.42
196,0.0014,100.00,100.00,95.93,99.28,12.17,79.90,0.03,46.97
201,0.0016,100.00,100.00,87.63,97.80,3.10,75.30,0.00,46.87
206,0.0009,100.00,100.00,50.07,90.98,0.77,65.23,0.00,42.72
211,0.0012,100.00,100.00,82.80,96.93,2.17,69.41,0.00,43.43
216,0.0009,100.00,100.00,79.77,96.39,1.80,69.61,0.00,48.20
221,0.0008,100.00,100.00,91.70,98.52,7.83,77.86,0.00,49.91
226,0.0009,100.00,100.00,82.10,96.81,3.27,73.27,0.03,49.80
231,0.0007,100.00,100.00,76.10,95.66,0.93,63.71,0.00,44.16
236,0.0009,100.00,100.00,91.57,98.50,7.50,78.42,0.00,48.08
241,0.0013,100.00,100.00,86.63,97.62,2.93,68.06,0.00,43.97
246,0.0008,100.00,100.00,81.20,96.65,1.07,65.44,0.00,43.47
251,0.0007,100.00,100.00,58.57,92.54,0.43,61.81,0.00,42.51
256,0.0009,100.00,100.00,76.27,95.75,1.43,66.22,0.00,43.49
261,0.0010,100.00,100.00,79.63,96.36,1.70,71.64,0.00,44.24
266,0.0006,100.00,100.00,92.90,98.73,9.00,78.07,0.03,47.92
271,0.0009,100.00,100.00,85.17,97.36,3.87,74.30,0.00,45.34
276,0.0009,100.00,100.00,92.87,98.73,8.67,75.44,0.00,45.24
281,0.0008,100.00,100.00,80.80,96.52,4.50,73.46,0.00,46.84
286,0.0006,100.00,100.00,96.47,99.37,12.70,74.94,0.00,44.74
291,0.0005,100.00,100.00,94.93,99.10,16.27,80.58,0.00,47.62
296,0.0006,100.00,100.00,90.13,98.24,4.17,71.66,0.00,44.91
300,0.0005,100.00,100.00,50.93,90.90,0.30,59.33,0.00,43.83
