epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.0907,0.00,15.40,0.00,14.27,0.00,12.62,0.00,11.13
6,0.6738,0.90,46.74,0.10,40.66,0.00,34.99,0.00,31.39
11,0.1461,98.05,99.57,39.20,86.89,0.23,59.71,0.00,48.86
16,0.0451,99.60,99.91,41.00,87.46,0.03,56.58,0.00,47.42
21,0.0239,99.60,99.91,76.40,95.58,0.40,62.55,0.00,49.90
26,0.0150,99.55,99.89,82.17,96.73,0.80,64.17,0.00,50.28
31,0.0105,99.95,99.99,84.33,97.18,1.57,66.35,0.00,49.88
36,0.0091,100.00,100.00,72.80,95.04,0.40,61.40,0.00,47.85
41,0.0072,99.90,99.98,58.67,91.74,0.03,55.16,0.00,46.43
46,0.0051,99.95,99.99,90.00,98.21,2.77,69.69,0.00,50.31
51,0.0047,100.00,100.00,86.40,97.56,3.10,69.03,0.00,49.43
56,0.0044,100.00,100.00,84.97,97.28,2.00,67.50,0.00,49.40
61,0.0037,99.95,99.99,94.20,98.97,13.33,78.94,0.00,51.36
66,0.0034,100.00,100.00,83.13,96.93,2.03,65.30,0.00,48.53
71,0.0030,100.00,100.00,88.87,98.00,5.27,72.70,0.03,51.06
76,0.0028,100.00,100.00,96.00,99.29,22.87,82.42,0.03,53.17
81,0.0030,100.00,100.00,85.87,97.45,3.57,68.78,0.00,48.63
86,0.0021,100.00,100.00,82.00,96.77,1.30,64.87,0.00,49.07
91,0.0015,100.00,100.00,82.73,96.84,0.87,61.87,0.00,48.24
96,0.0020,100.00,100.00,90.80,98.36,5.27,72.98,0.00,50.78
101,0.0012,100.00,100.00,93.97,98.92,6.70,74.29,0.00,49.73
106,0.0015,100.00,100.00,86.57,97.59,2.60,67.15,0.00,49.14
111,0.0017,100.00,100.00,88.37,97.93,10.03,78.95,0.00,52.03
116,0.0019,100.00,100.00,92.30,98.63,7.07,75.89,0.00,50.58
121,0.0018,100.00,100.00,92.70,98.70,12.30,77.92,0.03,50.92
126,0.0011,100.00,100.00,87.67,97.78,1.60,67.18,0.00,49.18
131,0.0009,100.00,100.00,93.97,98.92,14.87,79.63,0.03,51.92
136,0.0009,100.00,100.00,95.63,99.22,26.43,85.23,0.07,54.58
141,0.0008,100.00,100.00,74.37,95.20,0.17,58.64,0.03,49.15
146,0.0010,100.00,100.00,89.07,98.05,6.10,76.18,0.00,51.25
151,0.0045,100.00,100.00,89.13,98.05,1.10,64.91,0.00,50.85
156,0.0007,100.00,100.00,81.90,96.72,1.60,63.77,0.00,48.20
161,0.0008,100.00,100.00,87.13,97.68,1.80,66.53,0.00,48.92
166,0.0007,100.00,100.00,78.23,95.98,0.77,61.42,0.00,48.85
171,0.0006,100.00,100.00,96.17,99.32,5.03,72.68,0.00,51.56
176,0.0006,100.00,100.00,87.37,97.73,2.63,70.26,0.00,51.21
181,0.0006,100.00,100.00,96.10,99.30,11.60,77.89,0.00,51.94
186,0.0008,100.00,100.00,94.33,98.99,16.10,82.26,0.00,54.52
191,0.0006,100.00,100.00,85.23,97.33,0.97,64.71,0.00,50.59
196,0.0009,100.00,100.00,91.97,98.56,1.53,67.23,0.00,49.61
201,0.0033,100.00,100.00,74.80,95.42,1.00,63.16,0.00,46.41
206,0.0004,100.00,100.00,83.10,96.94,1.80,64.89,0.00,49.09
211,0.0007,100.00,100.00,88.70,97.92,0.30,59.25,0.00,47.11
216,0.0006,100.00,100.00,95.67,99.23,14.03,80.13,0.00,51.91
221,0.0006,100.00,100.00,72.70,95.08,2.33,72.76,0.00,52.11
226,0.0006,100.00,100.00,94.70,99.06,9.27,76.83,0.00,50.83
231,0.0004,100.00,100.00,95.10,99.13,13.87,80.56,0.00,53.20
236,0.0003,100.00,100.00,88.67,97.97,3.17,71.06,0.00,51.63
241,0.0003,100.00,100.00,92.67,98.69,4.27,70.95,0.00,52.03
246,0.0005,100.00,100.00,89.83,98.15,2.23,67.16,0.00,50.28
251,0.0009,100.00,100.00,89.97,98.21,2.40,68.39,0.00,50.56
256,0.0007,100.00,100.00,90.27,98.27,4.90,72.52,0.00,49.27
261,0.0005,100.00,100.00,87.93,97.85,2.27,71.55,0.03,52.63
266,0.0004,100.00,100.00,72.80,95.09,0.60,64.05,0.00,49.71
271,0.0006,100.00,100.00,98.40,99.71,32.53,85.38,0.00,52.74
276,0.0003,100.00,100.00,94.60,99.04,4.33,71.83,0.00,51.80
281,0.0003,100.00,100.00,90.47,98.27,1.00,64.46,0.00,50.62
286,0.0003,100.00,100.00,92.67,98.69,6.13,74.65,0.00,51.80
291,0.0005,100.00,100.00,63.27,93.31,0.67,65.26,0.00,51.25
296,0.0006,100.00,100.00,91.33,98.45,3.10,69.77,0.03,51.45
300,0.0003,100.00,100.00,90.93,98.38,6.93,76.31,0.00,52.98
