epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.1058,0.00,11.69,0.00,10.87,0.00,9.30,0.00,7.90
6,0.4439,65.60,91.88,6.63,71.89,0.10,53.56,0.00,41.59
11,0.1168,99.25,99.79,78.10,96.02,1.57,63.42,0.00,43.41
16,0.0313,99.50,99.87,86.13,97.47,4.50,67.99,0.00,42.37
21,0.0155,99.95,99.99,76.77,95.73,0.70,59.85,0.00,41.50
26,0.0093,100.00,100.00,79.20,96.17,1.67,61.13,0.00,40.65
31,0.0069,100.00,100.00,82.00,96.70,2.97,62.59,0.00,35.23
36,0.0053,99.90,99.98,63.27,93.17,0.77,57.58,0.00,34.94
41,0.0044,100.00,100.00,89.20,98.07,6.77,67.96,0.00,41.26
46,0.0037,100.00,100.00,63.53,93.13,0.23,52.92,0.00,35.79
51,0.0028,100.00,100.00,88.23,97.89,3.70,67.69,0.00,39.04
56,0.0028,100.00,100.00,75.73,95.55,1.33,60.08,0.00,34.53
61,0.0022,100.00,100.00,80.03,96.37,1.50,63.19,0.00,41.17
66,0.0021,100.00,100.00,66.50,93.74,0.40,55.53,0.00,35.07
71,0.0016,100.00,100.00,66.00,93.67,0.03,51.09,0.00,37.76
76,0.0014,100.00,100.00,90.47,98.29,3.87,65.46,0.00,41.16
81,0.0014,100.00,100.00,73.20,95.01,0.27,54.82,0.00,38.01
86,0.0013,100.00,100.00,61.43,92.61,0.10,53.95,0.00,39.75
91,0.0014,100.00,100.00,72.30,94.78,0.43,54.59,0.00,38.55
96,0.0014,100.00,100.00,90.63,98.29,4.27,65.06,0.00,40.53
101,0.0013,100.00,100.00,76.47,95.74,1.20,61.94,0.00,41.49
106,0.0010,100.00,100.00,82.90,96.90,1.40,61.93,0.00,39.71
111,0.0006,100.00,100.00,91.03,98.40,3.47,67.12,0.00,42.05
116,0.0009,100.00,100.00,83.47,97.04,0.80,59.52,0.00,39.59
121,0.0010,100.00,100.00,92.70,98.70,10.23,75.35,0.00,42.97
126,0.0146,100.00,100.00,78.07,96.01,0.63,57.10,0.00,41.00
131,0.0007,100.00,100.00,60.07,92.72,0.50,56.86,0.00,40.69
136,0.0006,100.00,100.00,75.90,95.55,0.57,54.95,0.00,40.38
141,0.0006,100.00,100.00,83.23,96.99,2.80,66.87,0.00,41.91
146,0.0012,100.00,100.00,89.17,98.06,2.13,62.02,0.00,39.99
151,0.0007,100.00,100.00,86.87,97.66,2.87,71.56,0.00,41.97
156,0.0029,100.00,100.00,81.93,96.76,1.13,61.64,0.00,39.17
161,0.0010,100.00,100.00,64.40,93.47,0.37,57.64,0.00,40.13
166,0.0006,100.00,100.00,87.90,97.78,1.30,60.71,0.00,40.31
171,0.0005,100.00,100.00,87.87,97.84,1.33,63.34,0.00,40.98
176,0.0008,100.00,100.00,60.93,92.69,0.30,53.55,0.00,39.54
181,0.0004,100.00,100.00,87.13,97.71,4.57,74.93,0.00,44.36
186,0.0008,100.00,100.00,87.70,97.81,0.87,57.96,0.00,39.56
191,0.0005,100.00,100.00,81.53,96.68,0.13,55.08,0.00,39.78
196,0.0004,100.00,100.00,94.50,99.02,5.87,72.72,0.00,42.17
201,0.0004,100.00,100.00,85.40,97.39,0.67,56.80,0.00,40.57
206,0.0004,100.00,100.00,93.33,98.81,1.97,62.59,0.00,40.81
211,0.0005,100.00,100.00,93.83,98.89,4.47,68.28,0.00,40.59
216,0.0093,100.00,100.00,75.23,95.53,1.33,60.38,0.00,40.63
221,0.0004,100.00,100.00,93.80,98.89,5.73,67.39,0.00,41.45
226,0.0005,100.00,100.00,71.50,94.85,0.77,60.09,0.00,40.37
231,0.0008,100.00,100.00,92.60,98.68,3.90,72.17,0.00,42.36
236,0.0118,100.00,100.00,55.70,91.84,0.30,52.99,0.00,39.05
241,0.0003,100.00,100.00,57.27,92.27,0.37,58.60,0.00,40.32
246,0.0003,100.00,100.00,87.73,97.81,2.67,69.08,0.00,42.15
251,0.0003,100.00,100.00,84.57,97.14,0.97,56.12,0.00,39.53
256,0.0003,100.00,100.00,68.80,94.36,0.30,52.48,0.00,38.40
261,0.0003,100.00,100.00,90.43,98.24,0.57,57.00,0.00,39.85
266,0.0004,100.00,100.00,55.40,91.46,0.07,49.59,0.00,39.31
271,0.0003,99.85,99.97,83.87,96.94,0.07,49.41,0.00,39.26
276,0.0003,100.00,100.00,93.63,98.87,3.77,65.38,0.00,40.27
281,0.0105,100.00,100.00,93.50,98.83,0.93,57.30,0.00,36.97
286,0.0003,100.00,100.00,90.50,98.28,0.40,53.60,0.00,39.95
291,0.0004,100.00,100.00,56.63,92.25,0.43,58.70,0.00,39.92
296,0.0003,100.00,100.00,82.47,96.87,0.37,57.01,0.00,40.87
300,0.0031,100.00,100.00,67.33,94.00,0.00,47.43,0.00,38.70
