epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.0985,0.05,14.28,0.00,13.61,0.00,11.61,0.00,10.11
6,0.4990,20.35,76.40,4.13,64.55,0.27,52.91,0.03,43.67
11,0.0763,99.65,99.92,56.03,91.36,0.07,54.93,0.00,37.85
16,0.0312,99.00,99.78,36.07,85.78,0.00,45.63,0.00,31.11
21,0.0178,99.95,99.99,82.17,96.72,1.07,62.19,0.00,35.60
26,0.0126,99.95,99.99,83.83,97.06,1.00,64.13,0.00,37.73
31,0.0083,99.85,99.97,96.03,99.29,33.47,86.48,0.00,41.03
36,0.0069,99.95,99.99,96.13,99.31,22.53,83.09,0.03,42.43
41,0.0060,100.00,100.00,91.33,98.43,6.50,72.46,0.00,38.17
46,0.0041,100.00,100.00,87.30,97.73,2.20,67.65,0.00,32.55
51,0.0038,100.00,100.00,88.10,97.86,1.37,61.88,0.00,34.40
56,0.0033,100.00,100.00,90.73,98.35,3.40,70.14,0.00,34.73
61,0.0032,100.00,100.00,88.77,98.00,2.27,66.98,0.00,33.22
66,0.0025,100.00,100.00,80.77,96.54,0.57,60.79,0.00,30.76
71,0.0029,98.80,99.73,55.93,91.52,0.93,63.35,0.00,35.27
76,0.0017,100.00,100.00,87.00,97.68,1.83,68.95,0.00,35.24
81,0.0017,100.00,100.00,87.60,97.79,5.97,76.10,0.00,38.25
86,0.0021,100.00,100.00,94.17,98.96,13.83,78.62,0.00,37.67
91,0.0015,100.00,100.00,67.27,93.86,0.30,59.14,0.00,35.58
96,0.0016,99.90,99.98,26.10,85.26,0.13,53.89,0.00,33.71
101,0.0012,100.00,100.00,96.53,99.38,13.73,77.27,0.00,40.08
106,0.0013,100.00,100.00,91.17,98.43,9.37,76.75,0.00,40.76
111,0.0012,100.00,100.00,89.83,98.19,4.83,71.84,0.00,38.71
116,0.0009,100.00,100.00,89.53,98.13,5.97,71.54,0.00,40.04
121,0.0011,100.00,100.00,83.93,97.13,1.97,68.18,0.00,40.26
126,0.0008,100.00,100.00,74.30,95.32,2.30,67.58,0.00,35.04
131,0.0013,100.00,100.00,72.53,95.03,0.83,64.11,0.00,34.10
136,0.0012,100.00,100.00,92.63,98.68,3.13,71.33,0.00,38.97
141,0.0010,100.00,100.00,76.73,95.79,1.47,69.15,0.00,39.93
146,0.0008,100.00,100.00,68.90,94.37,1.00,63.22,0.00,36.01
151,0.0008,100.00,100.00,93.20,98.79,11.03,76.85,0.00,45.19
156,0.0006,100.00,100.00,87.13,97.71,4.43,72.19,0.00,42.73
161,0.0006,100.00,100.00,73.37,95.15,0.73,63.56,0.00,36.48
166,0.0006,100.00,100.00,93.47,98.84,3.77,71.82,0.00,40.21
171,0.0006,100.00,100.00,58.90,92.55,0.53,61.97,0.00,36.25
176,0.0015,99.85,99.97,20.07,84.31,0.33,60.32,0.00,37.63
181,0.0009,100.00,100.00,72.83,95.01,1.30,65.27,0.00,39.77
186,0.0014,100.00,100.00,75.30,95.56,0.87,64.07,0.00,38.59
191,0.0003,100.00,100.00,79.90,96.42,1.97,69.48,0.00,39.71
196,0.0005,100.00,100.00,96.47,99.37,9.37,76.41,0.00,41.42
201,0.0005,100.00,100.00,92.63,98.69,7.20,77.66,0.03,43.66
206,0.0025,100.00,100.00,51.37,90.92,0.10,55.94,0.00,36.28
211,0.0005,97.70,99.49,10.33,80.24,0.07,55.53,0.00,35.35
216,0.0004,100.00,100.00,88.63,97.97,1.17,68.07,0.00,42.27
221,0.0005,100.00,100.00,90.80,98.36,2.17,68.21,0.00,41.66
226,0.0003,100.00,100.00,97.53,99.56,10.97,77.22,0.00,43.58
231,0.0003,100.00,100.00,85.97,97.49,1.87,68.35,0.00,40.97
236,0.0005,100.00,100.00,95.73,99.24,8.50,73.02,0.00,43.09
241,0.0005,100.00,100.00,25.00,85.99,0.47,61.96,0.00,39.15
246,0.0007,100.00,100.00,47.63,90.48,0.80,67.45,0.00,39.30
251,0.0004,100.00,100.00,81.77,96.75,1.07,68.67,0.00,42.14
256,0.0003,100.00,100.00,71.20,94.77,0.47,61.20,0.00,41.68
261,0.0004,100.00,100.00,91.90,98.56,4.50,71.88,0.00,43.11
266,0.0004,100.00,100.00,89.80,98.18,2.07,68.73,0.00,40.68
271,0.0005,100.00,100.00,89.13,98.06,2.00,69.03,0.00,41.33
276,0.0004,100.00,100.00,82.90,96.95,0.70,62.74,0.00,39.65
281,0.0003,100.00,100.00,90.80,98.36,2.53,70.49,0.00,39.03
286,0.0005,100.00,100.00,67.13,94.10,0.93,65.69,0.00,36.34
291,0.0005,100.00,100.00,81.40,96.67,0.50,60.10,0.00,35.97
296,0.0003,100.00,100.00,59.53,92.66,0.33,59.90,0.00,33.98
300,0.0003,100.00,100.00,97.93,99.63,11.07,77.16,0.00,41.91
