epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.5331,0.00,11.69,0.00,10.87,0.00,9.29,0.00,7.89
6,0.7950,0.00,23.48,0.00,22.41,0.00,20.43,0.00,18.05
11,0.7033,0.25,36.26,0.00,33.68,0.00,30.41,0.00,28.07
16,0.4703,3.30,56.60,0.17,48.71,0.00,40.73,0.00,36.14
21,0.2443,71.20,92.99,12.87,75.53,0.60,59.53,0.00,48.40
26,0.1012,99.30,99.84,27.93,83.36,0.13,58.05,0.00,48.84
31,0.0596,99.90,99.98,41.30,87.20,0.17,58.06,0.03,49.20
36,0.0373,99.95,99.99,46.53,88.95,0.20,58.35,0.00,49.87
41,0.0259,99.90,99.98,68.10,93.92,0.90,63.23,0.00,51.09
46,0.0182,100.00,100.00,69.97,94.40,0.53,63.94,0.00,51.39
51,0.0134,99.85,99.97,86.13,97.49,2.83,71.05,0.00,52.92
56,0.0128,100.00,100.00,70.93,94.52,0.50,62.15,0.00,51.28
61,0.0081,100.00,100.00,77.10,95.82,0.83,65.83,0.00,53.07
66,0.0090,99.95,99.99,87.70,97.78,3.93,71.58,0.00,54.31
71,0.0070,99.85,99.97,92.63,98.69,6.13,76.63,0.00,54.13
76,0.0055,100.00,100.00,92.80,98.72,12.63,79.22,0.03,54.81
81,0.0053,100.00,100.00,78.83,96.13,1.60,66.73,0.00,51.69
86,0.0040,100.00,100.00,83.97,97.09,2.40,70.01,0.00,53.98
91,0.0036,99.95,99.99,95.70,99.23,15.77,81.26,0.00,56.71
96,0.0036,100.00,100.00,94.60,99.03,8.67,76.95,0.00,54.77
101,0.0044,100.00,100.00,87.27,97.69,5.13,73.86,0.00,53.62
106,0.0040,100.00,100.00,69.30,94.34,0.93,65.69,0.00,52.10
111,0.0027,100.00,100.00,85.30,97.34,5.30,72.58,0.03,54.57
116,0.0024,100.00,100.00,75.97,95.59,0.90,65.99,0.00,52.73
121,0.0022,100.00,100.00,93.33,98.80,8.43,77.17,0.00,54.41
126,0.0018,100.00,100.00,92.43,98.65,10.77,79.42,0.00,55.37
131,0.0018,100.00,100.00,93.77,98.88,13.63,80.02,0.03,55.81
136,0.0020,100.00,100.00,94.13,98.95,9.63,79.43,0.00,54.91
141,0.0018,100.00,100.00,93.27,98.79,7.03,74.96,0.00,54.06
146,0.0020,100.00,100.00,95.47,99.19,16.83,82.22,0.07,56.16
151,0.0017,100.00,100.00,86.57,97.59,4.10,74.01,0.00,55.45
156,0.0015,100.00,100.00,87.90,97.84,2.47,71.46,0.00,53.15
161,0.0013,100.00,100.00,89.37,98.10,6.03,76.17,0.03,54.69
166,0.0012,100.00,100.00,96.87,99.44,18.70,82.45,0.03,55.22
171,0.0012,100.00,100.00,87.87,97.83,4.00,74.00,0.00,55.14
176,0.0013,100.00,100.00,94.20,98.97,12.10,77.97,0.00,54.65
181,0.0013,100.00,100.00,90.53,98.31,7.00,78.73,0.03,54.90
186,0.0011,100.00,100.00,91.33,98.45,7.80,76.88,0.00,55.01
191,0.0020,100.00,100.00,84.53,97.23,2.70,70.57,0.00,54.13
196,0.0072,100.00,100.00,97.07,99.47,24.63,81.02,0.03,55.19
201,0.0011,100.00,100.00,99.33,99.88,24.33,84.57,0.00,49.27
206,0.0011,100.00,100.00,76.03,95.66,2.70,69.28,0.00,54.59
211,0.0025,100.00,100.00,90.37,98.28,8.60,77.77,0.00,56.13
216,0.0011,100.00,100.00,95.37,99.17,14.67,80.11,0.00,55.71
221,0.0008,100.00,100.00,90.93,98.34,5.80,69.36,0.00,52.56
226,0.0006,100.00,100.00,92.40,98.64,5.03,72.66,0.00,53.06
231,0.0006,100.00,100.00,89.33,98.09,3.63,71.41,0.00,53.30
236,0.0010,100.00,100.00,98.30,99.70,33.87,87.04,0.00,58.81
241,0.0006,100.00,100.00,95.10,99.13,13.07,77.25,0.03,54.09
246,0.0006,100.00,100.00,94.90,99.09,14.93,82.06,0.03,58.98
251,0.0007,100.00,100.00,55.27,91.46,0.60,62.87,0.00,51.57
256,0.0006,100.00,100.00,88.60,97.97,6.03,74.51,0.03,55.31
261,0.0007,100.00,100.00,95.23,99.15,14.00,80.25,0.00,55.28
266,0.0008,100.00,100.00,95.30,99.16,25.00,84.53,0.10,58.20
271,0.0007,100.00,100.00,95.27,99.16,19.20,79.10,0.00,53.69
276,0.0005,100.00,100.00,73.37,95.14,1.53,64.69,0.00,50.76
281,0.0014,100.00,100.00,96.10,99.30,18.00,82.86,0.00,54.57
286,0.0005,100.00,100.00,84.20,97.17,6.13,71.77,0.00,52.25
291,0.0004,100.00,100.00,87.10,97.68,4.53,69.07,0.00,51.04
296,0.0004,100.00,100.00,94.43,99.01,11.97,78.73,0.00,53.14
300,0.0007,100.00,100.00,66.20,93.85,1.47,65.85,0.00,51.56
