epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.6076,0.00,11.69,0.00,10.87,0.00,9.29,0.00,7.89
6,0.8148,0.15,23.94,0.00,22.16,0.00,20.35,0.00,18.68
11,0.7152,0.25,36.92,0.00,34.39,0.00,30.71,0.00,27.27
16,0.4392,50.40,86.91,8.13,70.46,0.43,54.21,0.00,43.03
21,0.1751,99.25,99.83,30.20,83.55,0.17,55.35,0.00,44.36
26,0.1035,99.75,99.94,54.50,90.61,0.30,58.90,0.00,46.30
31,0.0729,99.95,99.99,59.30,91.88,0.33,57.84,0.00,45.29
36,0.0553,99.95,99.99,54.63,90.98,0.07,55.99,0.00,43.69
41,0.0419,100.00,100.00,84.17,97.14,3.97,70.74,0.00,48.71
46,0.0345,100.00,100.00,77.17,95.84,1.90,66.06,0.00,45.79
51,0.0280,100.00,100.00,82.83,96.90,3.07,69.21,0.03,46.91
56,0.0229,100.00,100.00,83.37,97.00,2.23,68.07,0.03,45.80
61,0.0195,100.00,100.00,86.33,97.53,4.80,71.33,0.00,47.82
66,0.0167,99.95,99.99,93.97,98.92,22.17,84.07,0.03,52.73
71,0.0149,100.00,100.00,85.63,97.44,4.40,72.71,0.00,45.39
76,0.0128,100.00,100.00,86.43,97.55,6.43,72.23,0.00,46.55
81,0.0108,100.00,100.00,86.60,97.60,5.23,72.94,0.00,44.62
86,0.0101,100.00,100.00,88.97,98.03,5.47,73.26,0.00,45.50
91,0.0086,100.00,100.00,93.37,98.82,15.40,80.47,0.00,47.93
96,0.0077,100.00,100.00,81.97,96.72,2.47,68.26,0.00,43.68
101,0.0072,100.00,100.00,83.37,96.96,2.07,63.36,0.00,42.54
106,0.0066,100.00,100.00,83.87,97.12,2.10,69.49,0.00,43.60
111,0.0061,100.00,100.00,71.73,94.81,0.97,62.44,0.00,39.52
116,0.0053,100.00,100.00,95.60,99.22,14.60,79.37,0.00,45.86
121,0.0047,100.00,100.00,79.57,96.34,1.53,67.20,0.00,41.27
126,0.0053,100.00,100.00,87.07,97.69,3.87,72.49,0.00,41.94
131,0.0046,100.00,100.00,80.97,96.48,3.03,64.98,0.00,40.57
136,0.0038,100.00,100.00,91.13,98.42,6.73,76.35,0.00,44.91
141,0.0038,100.00,100.00,94.57,99.02,11.27,74.89,0.00,44.10
146,0.0036,100.00,100.00,89.83,98.18,4.33,69.01,0.00,41.67
151,0.0036,100.00,100.00,72.57,95.00,1.30,66.53,0.00,41.45
156,0.0032,100.00,100.00,89.00,98.03,6.93,74.46,0.00,42.53
161,0.0033,100.00,100.00,90.60,98.32,5.50,73.94,0.00,43.28
166,0.0029,100.00,100.00,94.70,99.06,7.80,75.66,0.00,42.35
171,0.0033,100.00,100.00,68.37,94.23,0.97,64.58,0.00,36.90
176,0.0023,100.00,100.00,77.47,95.92,1.03,64.38,0.00,39.82
181,0.0026,100.00,100.00,87.53,97.78,3.60,72.87,0.00,40.09
186,0.0027,100.00,100.00,88.60,97.96,2.63,69.48,0.00,40.27
191,0.0019,100.00,100.00,83.67,97.06,1.97,67.44,0.00,37.53
196,0.0027,100.00,100.00,93.67,98.87,9.93,72.81,0.00,38.09
201,0.0022,100.00,100.00,89.07,98.04,2.10,65.46,0.00,37.08
206,0.0023,100.00,100.00,92.33,98.63,6.47,74.19,0.00,37.59
211,0.0062,100.00,100.00,64.90,93.54,0.63,58.24,0.00,36.55
216,0.0017,100.00,100.00,85.83,97.47,1.50,66.54,0.00,36.88
221,0.0017,100.00,100.00,91.40,98.47,4.47,74.45,0.00,38.63
226,0.0018,100.00,100.00,93.07,98.75,3.17,64.32,0.00,35.54
231,0.0024,100.00,100.00,74.87,95.38,1.00,61.63,0.00,34.91
236,0.0014,100.00,100.00,94.23,98.97,5.37,72.24,0.00,37.46
241,0.0017,100.00,100.00,91.30,98.45,3.63,71.54,0.00,37.06
246,0.0016,100.00,100.00,94.97,99.10,10.30,77.17,0.00,38.90
251,0.0012,100.00,100.00,92.10,98.59,4.33,69.50,0.00,35.44
256,0.0026,100.00,100.00,77.93,96.03,1.33,67.12,0.00,35.17
261,0.0015,100.00,100.00,78.40,96.08,2.10,66.83,0.00,35.48
266,0.0012,100.00,100.00,82.53,96.86,1.30,61.69,0.00,35.50
271,0.0011,100.00,100.00,86.23,97.52,1.10,61.26,0.00,36.05
276,0.0014,100.00,100.00,95.57,99.21,9.00,76.52,0.00,36.29
281,0.0016,100.00,100.00,89.93,98.20,2.70,67.12,0.00,33.15
286,0.0014,100.00,100.00,95.53,99.20,6.63,73.77,0.00,36.15
291,0.0011,100.00,100.00,73.90,95.27,0.60,61.55,0.00,33.44
296,0.0009,100.00,100.00,94.17,98.96,9.43,73.40,0.00,36.81
300,0.0010,100.00,100.00,91.50,98.48,7.57,75.96,0.00,38.57
