epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.5183,0.00,11.69,0.00,10.87,0.00,9.29,0.00,7.89
6,0.7841,0.05,23.47,0.00,22.02,0.00,19.98,0.00,18.64
11,0.7107,0.10,34.27,0.00,31.95,0.00,28.22,0.00,24.94
16,0.4354,2.40,53.77,0.10,46.82,0.07,40.41,0.00,36.07
21,0.1839,90.70,97.86,46.70,88.13,2.60,65.57,0.10,49.64
26,0.0739,99.70,99.93,71.63,94.58,2.77,69.00,0.03,50.77
31,0.0462,99.80,99.96,57.47,91.60,0.73,63.70,0.00,48.59
36,0.0325,99.95,99.99,87.03,97.67,3.70,71.81,0.03,47.98
41,0.0256,99.90,99.98,90.23,98.23,6.27,73.58,0.00,48.45
46,0.0212,100.00,100.00,89.40,98.09,4.90,72.73,0.00,47.48
51,0.0160,100.00,100.00,87.67,97.77,4.70,71.47,0.00,46.33
56,0.0143,100.00,100.00,85.60,97.40,5.27,73.03,0.00,46.37
61,0.0124,100.00,100.00,82.50,96.85,4.63,72.15,0.00,45.03
66,0.0104,100.00,100.00,90.90,98.35,5.83,72.02,0.00,45.23
71,0.0083,99.90,99.98,68.07,93.95,0.87,62.41,0.00,43.14
76,0.0065,100.00,100.00,82.57,96.80,2.57,68.50,0.00,45.64
81,0.0058,100.00,100.00,90.90,98.37,9.40,74.56,0.03,45.77
86,0.0044,100.00,100.00,92.13,98.59,6.63,70.93,0.00,45.62
91,0.0049,100.00,100.00,83.17,96.94,4.13,68.75,0.00,44.48
96,0.0043,100.00,100.00,95.20,99.14,14.00,77.31,0.00,46.70
101,0.0031,100.00,100.00,95.60,99.22,16.47,78.15,0.03,46.57
106,0.0032,100.00,100.00,81.07,96.60,4.17,69.89,0.00,44.94
111,0.0029,100.00,100.00,89.40,98.11,4.37,70.80,0.00,44.13
116,0.0031,100.00,100.00,84.03,97.09,4.83,66.68,0.00,43.09
121,0.0035,100.00,100.00,95.87,99.26,16.77,76.54,0.00,45.02
126,0.0024,100.00,100.00,98.27,99.69,20.03,80.33,0.00,45.31
131,0.0018,100.00,100.00,83.70,97.05,5.57,68.70,0.00,43.23
136,0.0021,100.00,100.00,96.60,99.39,18.27,78.64,0.00,45.50
141,0.0020,100.00,100.00,86.73,97.62,8.33,70.42,0.00,43.94
146,0.0015,100.00,100.00,88.17,97.84,6.70,69.19,0.00,43.12
151,0.0017,100.00,100.00,89.03,98.03,7.53,67.63,0.00,42.59
156,0.0016,100.00,100.00,91.67,98.51,7.97,70.88,0.00,43.31
161,0.0018,100.00,100.00,95.47,99.19,6.67,70.19,0.00,44.64
166,0.0011,100.00,100.00,90.17,98.24,11.50,70.18,0.00,43.40
171,0.0013,100.00,100.00,98.97,99.82,19.00,79.03,0.00,47.13
176,0.0015,100.00,100.00,91.03,98.39,14.80,75.44,0.00,46.27
181,0.0013,100.00,100.00,91.03,98.40,11.73,74.53,0.00,46.62
186,0.0013,100.00,100.00,93.37,98.82,10.50,72.46,0.00,44.40
191,0.0010,100.00,100.00,91.13,98.42,9.80,73.09,0.00,45.19
196,0.0010,100.00,100.00,99.33,99.88,23.10,82.22,0.00,46.60
201,0.0008,100.00,100.00,95.87,99.26,15.53,75.62,0.00,44.80
206,0.0009,100.00,100.00,93.77,98.89,16.77,73.78,0.00,44.55
211,0.0008,100.00,100.00,90.63,98.32,5.13,67.48,0.00,42.16
216,0.0008,100.00,100.00,96.03,99.29,19.77,78.31,0.00,44.56
221,0.0011,100.00,100.00,98.03,99.65,26.70,82.46,0.00,48.80
226,0.0011,100.00,100.00,99.40,99.89,31.13,85.92,0.03,49.47
231,0.0007,100.00,100.00,90.80,98.35,7.07,67.34,0.00,41.74
236,0.0009,100.00,100.00,90.87,98.37,14.60,75.85,0.00,46.05
241,0.0181,99.85,99.97,56.50,91.59,0.60,55.41,0.00,39.04
246,0.0007,100.00,100.00,89.50,98.12,5.77,65.04,0.00,42.75
251,0.0005,100.00,100.00,65.50,93.52,1.03,56.73,0.00,40.98
256,0.0009,100.00,100.00,99.07,99.83,37.00,85.87,0.03,47.76
261,0.0007,100.00,100.00,93.80,98.89,11.03,72.24,0.00,44.66
266,0.0005,100.00,100.00,92.00,98.56,5.97,68.76,0.00,42.87
271,0.0007,100.00,100.00,80.77,96.51,5.23,62.30,0.00,41.81
276,0.0009,100.00,100.00,92.43,98.65,11.47,70.69,0.00,42.53
281,0.0006,100.00,100.00,91.13,98.42,8.40,70.06,0.00,43.46
286,0.0009,100.00,100.00,97.07,99.48,14.70,76.05,0.00,43.34
291,0.0005,100.00,100.00,93.27,98.80,8.23,67.86,0.03,43.44
296,0.0005,100.00,100.00,95.63,99.22,15.80,77.11,0.03,47.85
300,0.0006,100.00,100.00,94.40,99.00,9.37,72.76,0.00,43.91
