epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.5939,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.8118,0.00,23.89,0.00,22.89,0.00,20.88,0.00,19.73
11,0.7068,0.40,35.52,0.00,33.49,0.00,29.99,0.00,27.69
16,0.5619,1.40,48.69,0.20,42.70,0.03,38.38,0.00,34.39
21,0.3137,17.75,72.43,3.30,61.90,0.50,53.31,0.03,46.78
26,0.1741,70.50,92.88,21.97,80.67,2.33,66.87,0.17,56.48
31,0.0886,97.75,99.50,54.63,91.13,1.30,66.49,0.00,53.88
36,0.0562,99.35,99.86,33.70,84.94,0.00,56.33,0.00,47.95
41,0.0407,99.70,99.93,39.67,87.24,0.07,56.04,0.00,47.64
46,0.0304,99.85,99.97,39.53,87.46,0.13,56.11,0.00,47.48
51,0.0249,99.85,99.97,40.77,88.00,0.03,57.09,0.00,47.93
56,0.0202,99.70,99.93,70.23,94.45,0.30,61.47,0.00,49.69
61,0.0163,99.90,99.98,51.63,90.43,0.30,59.23,0.00,48.87
66,0.0138,99.95,99.99,63.27,93.10,0.63,61.70,0.00,49.37
71,0.0113,99.90,99.98,74.37,95.34,1.53,66.87,0.00,50.73
76,0.0095,99.95,99.99,75.20,95.48,0.77,65.21,0.00,50.04
81,0.0084,100.00,100.00,72.90,95.04,0.80,63.40,0.00,50.23
86,0.0073,100.00,100.00,69.17,94.33,0.50,62.61,0.00,49.12
91,0.0067,99.95,99.99,77.03,95.85,1.93,68.42,0.00,50.97
96,0.0067,99.85,99.97,87.40,97.75,5.37,74.43,0.00,53.26
101,0.0050,100.00,100.00,81.40,96.64,3.87,72.18,0.00,52.13
106,0.0057,100.00,100.00,82.40,96.84,5.57,74.06,0.03,52.56
111,0.0043,100.00,100.00,78.63,96.17,3.13,71.59,0.00,52.03
116,0.0038,99.95,99.99,93.23,98.79,18.73,81.97,0.03,56.09
121,0.0035,100.00,100.00,88.23,97.89,6.50,73.80,0.00,50.55
126,0.0034,100.00,100.00,77.40,95.92,1.30,66.52,0.00,49.42
131,0.0038,100.00,100.00,85.83,97.42,4.57,71.51,0.00,50.47
136,0.0033,99.85,99.97,56.43,91.66,0.57,61.18,0.00,48.25
141,0.0024,100.00,100.00,92.30,98.63,12.37,79.59,0.03,53.47
146,0.0027,100.00,100.00,91.27,98.44,13.77,81.18,0.07,55.63
151,0.0021,100.00,100.00,92.20,98.60,11.13,77.33,0.00,51.75
156,0.0023,100.00,100.00,84.33,97.21,2.70,71.38,0.00,50.24
161,0.0021,100.00,100.00,77.43,95.88,1.13,64.18,0.03,48.56
166,0.0024,100.00,100.00,87.40,97.75,7.73,77.21,0.07,53.65
171,0.0018,100.00,100.00,89.57,98.10,4.33,70.04,0.00,49.35
176,0.0019,100.00,100.00,96.53,99.38,24.87,83.74,0.03,56.18
181,0.0017,100.00,100.00,83.87,97.12,4.33,72.78,0.00,50.07
186,0.0018,100.00,100.00,93.00,98.75,12.40,78.74,0.03,51.33
191,0.0015,100.00,100.00,83.07,96.96,1.63,67.36,0.00,48.76
196,0.0015,100.00,100.00,91.80,98.54,10.70,78.19,0.00,51.63
201,0.0015,100.00,100.00,88.63,97.96,3.03,68.26,0.00,48.30
206,0.0015,100.00,100.00,87.13,97.71,4.33,72.41,0.00,49.74
211,0.0017,100.00,100.00,96.33,99.35,25.00,84.34,0.00,54.05
216,0.0014,100.00,100.00,84.73,97.26,2.07,65.91,0.00,48.54
221,0.0013,100.00,100.00,79.93,96.39,0.93,63.09,0.00,46.05
226,0.0010,100.00,100.00,91.10,98.41,7.87,74.93,0.00,49.14
231,0.0011,100.00,100.00,94.63,99.04,10.70,76.47,0.00,50.05
236,0.0013,100.00,100.00,89.67,98.12,3.20,67.93,0.00,47.85
241,0.0012,100.00,100.00,83.20,96.98,2.93,69.89,0.00,49.66
246,0.0010,100.00,100.00,95.90,99.27,9.87,75.23,0.00,48.52
251,0.0009,100.00,100.00,95.97,99.28,8.27,73.36,0.00,47.62
256,0.0012,100.00,100.00,79.83,96.29,0.97,62.02,0.00,46.47
261,0.0012,100.00,100.00,90.80,98.36,6.40,73.92,0.00,47.96
266,0.0156,100.00,100.00,87.40,97.75,3.63,70.29,0.03,47.12
271,0.0007,100.00,100.00,94.80,99.07,10.77,75.83,0.00,49.21
276,0.0009,100.00,100.00,89.20,98.07,2.50,68.63,0.00,48.01
281,0.0010,100.00,100.00,94.57,99.03,7.47,74.08,0.00,48.29
286,0.0012,100.00,100.00,96.27,99.33,11.03,75.47,0.00,47.67
291,0.0013,100.00,100.00,88.87,98.02,3.97,72.98,0.00,48.92
296,0.0012,100.00,100.00,91.83,98.54,4.50,71.43,0.00,50.13
300,0.0018,100.00,100.00,75.87,95.57,10.20,78.32,0.33,58.38
