layer,cosA_pre_mean,cosA_pre_std,cosB_pre_mean,cosB_pre_std,cosA_B_mean,cosA_B_std,relL2_mean,relL2_std
layer 0,0.5268,0.0092,0.2020,0.0116,0.1809,0.0202,1.3693,0.0436
layer 1,0.5980,0.0142,0.1883,0.0029,0.1883,0.0140,1.1151,0.0181
layer 2,0.5828,0.0275,0.2087,0.0107,0.2108,0.0142,1.0104,0.0226
layer 3,0.6120,0.0059,0.1964,0.0107,0.2043,0.0119,0.8989,0.0108
layer 4,0.6272,0.0100,0.2191,0.0086,0.2157,0.0111,0.9085,0.0081
layer 5,0.5309,0.0241,0.1958,0.0106,0.2011,0.0111,1.1033,0.0381
final_norm,0.5545,0.0128,0.3129,0.0411,0.2404,0.0584,2.0086,0.0311
GLOBAL,0.4240,0.0059,0.0334,0.0024,0.0316,0.0011,,
