seed,eval_set,model,pos_from_LSB,accuracy
4,5dig,A,9,nan
4,5dig,A,10,nan
4,5dig,A,11,nan
4,6dig,A,0,100.00
4,6dig,A,1,18.07
4,6dig,A,2,14.80
4,6dig,A,3,36.03
4,6dig,A,4,64.70
4,6dig,A,5,97.37
4,6dig,A,6,100.00
4,6dig,A,7,nan
4,6dig,A,8,nan
4,6dig,A,9,nan
4,6dig,A,10,nan
4,6dig,A,11,nan
4,7dig,A,0,98.00
4,7dig,A,1,20.47
4,7dig,A,2,15.20
4,7dig,A,3,11.97
4,7dig,A,4,12.90
4,7dig,A,5,21.80
4,7dig,A,6,92.80
4,7dig,A,7,100.00
4,7dig,A,8,nan
4,7dig,A,9,nan
4,7dig,A,10,nan
4,7dig,A,11,nan
