seed,eval_set,model,pos_from_LSB,accuracy
4,5dig,A,9,nan
4,5dig,A,10,nan
4,5dig,A,11,nan
4,6dig,A,0,60.17
4,6dig,A,1,16.60
4,6dig,A,2,17.57
4,6dig,A,3,41.77
4,6dig,A,4,30.87
4,6dig,A,5,98.03
4,6dig,A,6,100.00
4,6dig,A,7,nan
4,6dig,A,8,nan
4,6dig,A,9,nan
4,6dig,A,10,nan
4,6dig,A,11,nan
4,7dig,A,0,10.90
4,7dig,A,1,14.33
4,7dig,A,2,13.20
4,7dig,A,3,12.30
4,7dig,A,4,10.83
4,7dig,A,5,18.83
4,7dig,A,6,90.50
4,7dig,A,7,100.00
4,7dig,A,8,nan
4,7dig,A,9,nan
4,7dig,A,10,nan
4,7dig,A,11,nan
