seed,eval_set,model,pos_from_LSB,accuracy
4,5dig,A,9,nan
4,5dig,A,10,nan
4,5dig,A,11,nan
4,6dig,A,0,98.40
4,6dig,A,1,20.10
4,6dig,A,2,25.60
4,6dig,A,3,77.63
4,6dig,A,4,89.27
4,6dig,A,5,98.63
4,6dig,A,6,100.00
4,6dig,A,7,nan
4,6dig,A,8,nan
4,6dig,A,9,nan
4,6dig,A,10,nan
4,6dig,A,11,nan
4,7dig,A,0,74.30
4,7dig,A,1,19.57
4,7dig,A,2,13.73
4,7dig,A,3,15.00
4,7dig,A,4,20.17
4,7dig,A,5,41.30
4,7dig,A,6,91.10
4,7dig,A,7,100.00
4,7dig,A,8,nan
4,7dig,A,9,nan
4,7dig,A,10,nan
4,7dig,A,11,nan
